Date,Year,Month,Day,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,Season,is_RR_missing
2005-04-05,2005,April,5,19.0,34.4,27.2,91.0,39.8,3.2,3.0,0.0,0.0,SE,Dry,1
2005-04-06,2005,April,6,19.0,34.4,27.7,88.0,19.0,5.3,3.0,0.0,0.0,N,Dry,0
2005-04-07,2005,April,7,19.0,34.4,27.4,88.0,8.0,6.0,3.0,0.0,0.0,SE,Dry,1
2005-04-08,2005,April,8,19.0,34.4,26.0,93.0,1.0,4.0,3.0,0.0,0.0,N,Dry,1
2005-04-09,2005,April,9,19.0,34.4,26.2,88.0,64.0,2.8,3.0,0.0,0.0,SE,Dry,0
2005-04-10,2005,April,10,19.0,34.0,26.4,88.0,8.0,7.5,3.0,0.0,0.0,N,Dry,0
2005-04-11,2005,April,11,19.0,33.4,26.6,91.0,3.8,2.8,3.0,0.0,0.0,SE,Dry,1
2005-04-12,2005,April,12,24.0,33.8,27.8,89.0,0.0,7.8,3.0,0.0,0.0,N,Dry,1
2005-04-13,2005,April,13,20.0,34.0,25.1,90.0,4.0,6.6,0.0,0.0,0.0,N,Dry,1
2005-04-14,2005,April,14,23.0,34.0,27.4,91.0,0.0,5.6,3.0,0.0,0.0,N,Dry,1
2005-04-15,2005,April,15,20.0,34.6,27.4,89.0,1.0,6.5,4.0,0.0,0.0,SE,Dry,1
2005-04-16,2005,April,16,23.0,34.2,26.6,90.0,3.0,2.9,3.0,0.0,0.0,N,Dry,1
2005-04-17,2005,April,17,20.0,34.2,27.7,88.0,5.8,3.4,4.0,0.0,0.0,SE,Dry,1
2005-04-18,2005,April,18,23.0,34.0,28.0,90.0,3.2,6.3,3.0,0.0,0.0,N,Dry,1
2005-04-19,2005,April,19,20.0,34.4,27.8,88.0,5.6,6.6,3.0,0.0,0.0,SE,Dry,1
2005-04-20,2005,April,20,23.0,34.6,28.2,84.0,0.0,7.0,3.0,0.0,0.0,N,Dry,1
2005-04-21,2005,April,21,20.0,34.6,27.4,87.0,14.9,2.8,0.0,0.0,0.0,N,Dry,1
2005-04-22,2005,April,22,23.0,34.4,24.7,90.0,4.0,4.6,3.0,0.0,0.0,N,Dry,1
2005-04-23,2005,April,23,20.0,34.4,27.2,89.0,24.4,2.3,3.0,0.0,0.0,SE,Dry,1
2005-04-24,2005,April,24,23.0,34.4,28.1,90.0,1.8,2.6,3.0,0.0,0.0,N,Dry,1
2005-04-25,2005,April,25,20.0,34.4,28.5,86.0,4.0,5.6,0.0,0.0,0.0,N,Dry,1
2005-04-26,2005,April,26,23.0,34.4,28.0,92.0,4.7,3.4,3.0,0.0,0.0,N,Dry,1
2005-04-27,2005,April,27,20.0,34.4,26.5,94.0,1.0,0.0,3.0,0.0,0.0,SE,Dry,1
2005-04-28,2005,April,28,23.0,34.4,27.3,93.0,24.0,3.8,3.0,0.0,0.0,N,Dry,0
2005-04-29,2005,April,29,20.0,34.8,29.0,90.0,6.0,2.4,3.0,0.0,0.0,N,Dry,0
2005-04-30,2005,April,30,23.0,34.4,28.0,94.0,1.0,3.3,3.0,0.0,0.0,N,Dry,1
2005-05-01,2005,May,1,20.0,34.0,27.9,90.0,10.0,0.6,0.0,0.0,0.0,N,Dry,0
2005-05-02,2005,May,2,23.0,34.4,28.1,91.0,1.0,2.1,3.0,180.0,2.0,S,Dry,1
2005-05-03,2005,May,3,20.0,34.0,27.7,92.0,39.6,0.0,3.0,0.0,0.0,N,Dry,1
2005-05-04,2005,May,4,23.0,34.4,27.6,92.0,3.0,0.0,2.0,0.0,0.0,N,Dry,0
2005-05-05,2005,May,5,20.0,34.4,28.0,92.0,1.0,1.6,3.0,0.0,0.0,SE,Dry,1
2005-05-06,2005,May,6,23.0,35.0,27.5,90.0,1.5,4.7,3.0,0.0,0.0,N,Dry,1
2005-05-07,2005,May,7,19.0,35.0,28.5,84.0,6.0,0.0,4.0,0.0,0.0,SE,Dry,0
2005-05-08,2005,May,8,23.0,35.0,28.2,86.0,1.0,0.0,3.0,0.0,0.0,N,Dry,0
2005-05-09,2005,May,9,20.0,31.8,26.8,89.0,7.0,0.0,4.0,135.0,2.0,SE,Dry,0
2005-05-10,2005,May,10,23.0,35.0,26.7,87.0,15.0,0.8,3.0,0.0,0.0,N,Dry,0
2005-05-11,2005,May,11,20.0,32.4,27.0,85.0,47.7,0.8,4.0,0.0,0.0,SE,Dry,1
2005-05-12,2005,May,12,23.0,30.4,26.2,90.0,28.0,0.0,2.0,0.0,0.0,N,Dry,0
2005-05-13,2005,May,13,23.0,33.2,28.0,88.0,1.6,4.6,4.0,135.0,2.0,SE,Dry,1
2005-05-14,2005,May,14,23.0,33.4,25.5,94.0,3.0,6.7,3.0,0.0,0.0,N,Dry,0
2005-05-15,2005,May,15,23.0,33.6,25.4,96.0,8.0,1.2,0.0,0.0,0.0,N,Dry,0
2005-05-16,2005,May,16,23.0,34.0,25.1,96.0,22.0,1.1,3.0,0.0,0.0,N,Dry,0
2005-05-17,2005,May,17,23.0,34.0,27.8,86.0,6.0,5.5,0.0,0.0,0.0,N,Dry,0
2005-05-18,2005,May,18,23.0,34.4,27.1,91.0,4.0,7.0,4.0,0.0,0.0,N,Dry,1
2005-05-19,2005,May,19,22.0,34.4,28.0,88.0,9.5,6.9,4.0,135.0,2.0,SE,Dry,1
2005-05-20,2005,May,20,22.0,36.6,27.0,86.0,0.0,7.8,3.0,180.0,2.0,S,Dry,1
2005-05-21,2005,May,21,20.0,34.6,25.9,88.0,9.8,8.0,4.0,0.0,0.0,SE,Dry,1
2005-05-22,2005,May,22,20.0,34.6,26.7,85.0,2.7,7.3,3.0,0.0,0.0,N,Dry,1
2005-05-23,2005,May,23,20.0,34.6,27.4,84.0,0.0,7.7,3.0,0.0,0.0,SE,Dry,1
2005-05-24,2005,May,24,20.0,34.6,26.9,85.0,1.6,4.0,3.0,0.0,0.0,N,Dry,1
2005-05-25,2005,May,25,20.0,34.6,26.0,90.0,1.8,1.5,3.0,0.0,0.0,SE,Dry,1
2005-05-26,2005,May,26,20.0,34.6,26.8,91.0,9.5,5.3,3.0,0.0,0.0,N,Dry,1
2005-05-27,2005,May,27,20.0,34.6,25.9,92.0,8.0,4.3,3.0,0.0,0.0,SE,Dry,0
2005-05-28,2005,May,28,20.0,34.4,26.3,94.0,0.0,3.9,3.0,0.0,0.0,N,Dry,0
2005-05-29,2005,May,29,20.0,34.6,27.0,90.0,8.0,5.5,0.0,0.0,0.0,N,Dry,1
2005-05-30,2005,May,30,20.0,34.6,27.2,91.0,4.0,1.2,3.0,0.0,0.0,N,Dry,0
2005-05-31,2005,May,31,20.0,33.0,27.2,91.0,5.8,0.0,0.0,0.0,0.0,N,Dry,1
2005-06-01,2005,June,1,20.0,35.0,27.2,90.0,0.9,7.0,3.0,0.0,0.0,N,Dry,1
2005-06-02,2005,June,2,20.0,33.6,27.2,92.0,7.0,1.1,3.0,0.0,0.0,SE,Dry,0
2005-06-03,2005,June,3,20.0,34.4,27.5,90.0,1.0,7.4,3.0,0.0,0.0,N,Dry,0
2005-06-04,2005,June,4,20.0,34.4,27.1,90.0,8.0,0.0,2.0,0.0,0.0,SE,Dry,0
2005-06-05,2005,June,5,20.0,34.4,28.5,86.0,6.4,1.0,0.0,0.0,0.0,N,Dry,1
2005-06-06,2005,June,6,20.0,34.6,28.0,87.0,1.5,7.5,4.0,0.0,0.0,SE,Dry,1
2005-06-07,2005,June,7,20.0,34.4,26.5,89.0,45.0,1.8,3.0,0.0,0.0,N,Dry,1
2005-06-08,2005,June,8,20.0,34.0,30.5,78.0,0.5,1.1,5.0,135.0,4.0,SE,Dry,1
2005-06-09,2005,June,9,20.0,33.9,27.5,91.0,32.9,1.8,3.0,0.0,0.0,N,Dry,1
2005-06-10,2005,June,10,20.0,34.0,26.6,92.0,12.0,5.6,0.0,0.0,0.0,N,Dry,1
2005-06-11,2005,June,11,20.0,35.0,28.1,89.0,9.0,7.9,3.0,0.0,0.0,N,Dry,0
2005-06-12,2005,June,12,20.0,35.0,29.6,80.0,3.0,4.1,4.0,135.0,2.0,SE,Dry,1
2005-06-13,2005,June,13,19.0,35.0,27.1,88.0,1.0,3.6,3.0,180.0,2.0,S,Dry,1
2005-06-14,2005,June,14,20.0,35.0,26.7,90.0,3.6,3.4,4.0,135.0,2.0,SE,Dry,1
2005-06-15,2005,June,15,19.0,35.0,29.0,84.0,5.3,7.7,3.0,0.0,0.0,N,Dry,1
2005-06-16,2005,June,16,19.0,32.0,27.9,86.0,2.0,0.0,3.0,135.0,2.0,SE,Dry,1
2005-06-17,2005,June,17,19.0,29.4,24.9,95.0,5.0,0.0,0.0,0.0,0.0,N,Dry,0
2005-06-18,2005,June,18,19.0,31.0,28.3,87.0,19.0,1.5,2.0,0.0,0.0,SE,Dry,0
2005-06-19,2005,June,19,19.0,31.0,25.2,94.0,29.0,0.4,0.0,0.0,0.0,N,Dry,0
2005-06-20,2005,June,20,19.0,31.8,28.2,86.0,12.0,1.0,3.0,135.0,2.0,SE,Dry,0
2005-06-21,2005,June,21,19.0,34.0,28.4,87.0,0.9,4.9,3.0,0.0,0.0,N,Dry,1
2005-06-22,2005,June,22,19.0,35.0,28.0,86.0,4.0,8.0,3.0,0.0,0.0,N,Dry,1
2005-06-23,2005,June,23,19.0,35.0,27.5,92.0,1.6,6.5,3.0,135.0,2.0,SE,Dry,1
2005-06-24,2005,June,24,19.0,35.0,27.6,89.0,2.0,0.0,0.0,0.0,0.0,N,Dry,0
2005-06-25,2005,June,25,19.0,33.6,26.4,88.0,0.6,5.3,3.0,0.0,0.0,N,Dry,1
2005-06-26,2005,June,26,19.0,34.6,27.3,86.0,30.3,7.8,3.0,135.0,3.0,SE,Dry,1
2005-06-27,2005,June,27,19.0,35.6,27.7,92.0,2.0,8.0,3.0,0.0,0.0,N,Dry,1
2005-06-28,2005,June,28,19.0,35.6,27.3,89.0,1.5,6.5,3.0,0.0,0.0,SE,Dry,1
2005-06-29,2005,June,29,18.0,35.8,27.2,87.0,6.1,8.0,3.0,0.0,0.0,N,Dry,1
2005-06-30,2005,June,30,14.0,35.6,27.4,87.0,2.9,6.5,0.0,0.0,0.0,N,Dry,1
2005-07-01,2005,July,1,18.0,35.6,26.8,88.0,1.0,2.6,3.0,90.0,2.0,E,Dry,1
2005-07-02,2005,July,2,18.0,35.6,26.6,88.0,15.4,5.8,2.0,0.0,0.0,SE,Dry,1
2005-07-03,2005,July,3,18.0,35.6,27.2,86.0,0.0,8.0,3.0,0.0,0.0,N,Dry,1
2005-07-04,2005,July,4,18.0,35.6,28.0,84.0,1.0,6.4,3.0,135.0,2.0,SE,Dry,1
2005-07-05,2005,July,5,18.0,36.0,27.4,87.0,14.0,7.5,4.0,0.0,0.0,N,Dry,1
2005-07-06,2005,July,6,18.0,31.8,27.3,84.0,11.0,0.0,3.0,0.0,0.0,SE,Dry,1
2005-07-07,2005,July,7,18.0,36.0,28.1,85.0,10.0,7.3,3.0,0.0,0.0,N,Dry,0
2005-07-08,2005,July,8,18.0,36.0,27.4,86.0,6.0,3.5,2.0,0.0,0.0,SE,Dry,1
2005-07-09,2005,July,9,18.0,36.0,27.1,86.0,42.0,6.8,3.0,0.0,0.0,N,Dry,1
2005-07-10,2005,July,10,18.0,35.6,27.6,87.0,0.7,4.3,4.0,0.0,0.0,SE,Dry,1
2005-07-11,2005,July,11,23.0,36.0,28.5,84.0,2.4,6.4,3.0,0.0,0.0,N,Dry,1
2005-07-12,2005,July,12,18.0,35.4,26.0,92.0,0.5,3.3,4.0,0.0,0.0,SE,Dry,1
2005-07-13,2005,July,13,24.0,33.2,27.6,89.0,3.0,3.0,3.0,0.0,0.0,N,Dry,0
2005-07-14,2005,July,14,21.0,33.4,25.9,94.0,2.5,0.0,0.0,0.0,0.0,N,Dry,1
2005-07-15,2005,July,15,23.0,33.0,26.7,87.0,5.0,0.0,3.0,0.0,0.0,N,Dry,0
2005-07-16,2005,July,16,19.0,34.6,26.8,87.0,49.6,6.8,3.0,0.0,0.0,SE,Dry,1
2005-07-17,2005,July,17,22.0,33.4,26.9,85.0,0.0,7.9,4.0,45.0,3.0,NE,Dry,1
2005-07-18,2005,July,18,19.0,33.4,26.3,90.0,2.0,0.6,3.0,0.0,0.0,SE,Dry,1
2005-07-19,2005,July,19,22.0,35.4,26.6,85.0,1.9,6.0,4.0,180.0,2.0,S,Dry,1
2005-07-20,2005,July,20,19.0,31.6,26.5,89.0,14.0,0.0,3.0,0.0,0.0,SE,Dry,0
2005-07-21,2005,July,21,22.0,33.6,27.7,85.0,2.2,2.0,3.0,0.0,0.0,N,Dry,1
2005-07-22,2005,July,22,19.0,30.6,26.9,88.0,2.0,0.6,4.0,0.0,0.0,N,Dry,0
2005-07-23,2005,July,23,24.0,34.2,29.6,79.0,5.0,2.8,3.0,180.0,3.0,S,Dry,0
2005-07-24,2005,July,24,21.0,33.6,28.6,82.0,17.0,2.8,4.0,0.0,0.0,SE,Dry,1
2005-07-25,2005,July,25,24.0,35.2,31.1,79.0,0.0,6.7,3.0,180.0,2.0,S,Dry,1
2005-07-26,2005,July,26,24.0,35.0,30.5,79.0,0.0,4.0,3.0,135.0,3.0,SE,Dry,1
2005-07-27,2005,July,27,24.0,35.2,31.0,75.0,0.0,6.5,4.0,180.0,3.0,S,Dry,1
2005-07-28,2005,July,28,21.0,35.2,27.2,87.0,1.0,4.9,4.0,135.0,3.0,SE,Dry,1
2005-07-29,2005,July,29,21.0,35.4,27.7,86.0,0.0,7.6,3.0,0.0,0.0,N,Dry,1
2005-07-30,2005,July,30,21.0,35.4,30.2,84.0,10.0,5.2,4.0,0.0,0.0,N,Dry,1
2005-07-31,2005,July,31,21.0,35.4,29.5,80.0,3.0,2.5,3.0,180.0,2.0,S,Dry,1
2005-08-01,2005,August,1,21.0,35.2,29.6,86.0,12.1,0.7,4.0,135.0,2.0,SE,Dry,1
2005-08-02,2005,August,2,21.0,35.6,30.7,88.0,4.0,5.5,3.0,180.0,2.0,S,Dry,0
2005-08-03,2005,August,3,21.0,35.6,29.6,82.0,1.0,4.3,4.0,135.0,3.0,SE,Dry,1
2005-08-04,2005,August,4,20.0,35.6,28.8,84.0,0.8,2.7,3.0,0.0,0.0,N,Dry,1
2005-08-05,2005,August,5,21.0,35.6,28.1,86.0,0.0,8.0,3.0,0.0,0.0,N,Dry,1
2005-08-06,2005,August,6,20.0,36.0,28.4,85.0,1.3,7.0,3.0,180.0,2.0,S,Dry,1
2005-08-07,2005,August,7,20.0,36.0,30.0,84.0,0.1,7.0,3.0,180.0,2.0,S,Dry,1
2005-08-08,2005,August,8,20.0,36.0,28.0,83.0,16.0,6.7,4.0,135.0,2.0,SE,Dry,1
2005-08-09,2005,August,9,20.0,36.0,30.1,81.0,1.0,6.3,4.0,135.0,3.0,SE,Dry,0
2005-08-10,2005,August,10,20.0,36.0,29.6,82.0,0.0,8.0,4.0,135.0,3.0,SE,Dry,1
2005-08-11,2005,August,11,20.0,36.0,29.7,83.0,7.5,6.1,5.0,135.0,3.0,SE,Dry,1
2005-08-12,2005,August,12,20.0,36.0,29.5,84.0,0.5,5.9,3.0,0.0,0.0,N,Dry,1
2005-08-13,2005,August,13,19.0,36.4,29.5,82.0,3.1,2.9,5.0,135.0,3.0,SE,Dry,1
2005-08-14,2005,August,14,19.0,36.0,29.8,90.0,13.0,2.7,2.0,0.0,0.0,N,Dry,0
2005-08-15,2005,August,15,19.0,36.2,28.0,89.0,4.8,0.7,2.0,0.0,0.0,SE,Dry,1
2005-08-16,2005,August,16,19.0,36.0,27.8,84.0,12.2,4.9,3.0,180.0,2.0,S,Dry,1
2005-08-17,2005,August,17,19.0,37.2,28.7,83.0,4.0,6.7,2.0,0.0,0.0,SE,Dry,1
2005-08-18,2005,August,18,19.0,34.0,27.6,84.0,6.0,5.5,8.0,180.0,3.0,S,Dry,1
2005-08-19,2005,August,19,19.0,35.4,27.2,86.0,1.0,5.5,4.0,135.0,2.0,SE,Dry,1
2005-08-20,2005,August,20,19.0,35.0,25.9,92.0,2.5,1.2,2.0,0.0,0.0,N,Dry,1
2005-08-21,2005,August,21,19.0,35.4,26.4,90.0,9.3,7.7,4.0,0.0,0.0,SE,Dry,1
2005-08-22,2005,August,22,19.0,35.0,26.9,90.0,1.3,0.6,2.0,0.0,0.0,N,Dry,1
2005-08-23,2005,August,23,19.0,35.0,26.1,90.0,4.0,1.1,3.0,0.0,0.0,SE,Dry,0
2005-08-24,2005,August,24,19.0,35.0,25.6,92.0,5.0,2.0,3.0,0.0,0.0,N,Dry,0
2005-08-25,2005,August,25,19.0,35.0,25.0,94.0,3.1,0.0,4.0,135.0,2.0,SE,Dry,1
