Date,Year,Month,Day,Prec,StDev,%Time
2005-05-17,2005,5,17,0.0,2,5
2005-05-18,2005,5,18,0.0,2,5
2005-05-19,2005,5,19,0.0,2,5
2005-05-20,2005,5,20,0.0,2,5
2005-05-21,2005,5,21,0.0,2,5
2005-05-22,2005,5,22,0.0,2,5
2005-05-23,2005,5,23,0.0,2,5
2005-05-24,2005,5,24,0.0,2,5
2005-05-25,2005,5,25,0.0,2,5
2005-05-26,2005,5,26,0.0,2,5
2005-05-27,2005,5,27,2.1,2,5
2005-05-28,2005,5,28,0.0,2,5
2005-05-29,2005,5,29,2.1,2,5
2005-05-30,2005,5,30,2.8,2,5
2005-05-31,2005,5,31,0.7,2,5
2005-06-01,2005,6,1,0.7,2,5
2005-06-02,2005,6,2,0.7,2,5
2005-06-03,2005,6,3,2.1,2,5
2005-06-04,2005,6,4,0.7,2,5
2005-06-05,2005,6,5,0.0,2,5
2005-06-06,2005,6,6,1.4,2,5
2005-06-07,2005,6,7,2.1,2,5
2005-06-08,2005,6,8,2.1,2,5
2005-06-09,2005,6,9,0.0,2,5
2005-06-10,2005,6,10,0.0,2,5
2005-06-11,2005,6,11,0.0,2,5
2005-06-12,2005,6,12,0.0,2,5
2005-06-13,2005,6,13,8.3,2,5
2005-06-14,2005,6,14,9.0,2,5
2005-06-15,2005,6,15,1.4,2,5
2005-06-16,2005,6,16,6.9,2,5
2005-06-17,2005,6,17,2.8,2,5
2005-06-18,2005,6,18,1.4,2,5
2005-06-19,2005,6,19,0.7,2,5
2005-06-20,2005,6,20,0.7,2,5
2005-06-21,2005,6,21,0.0,2,5
2005-06-22,2005,6,22,0.0,2,5
2005-06-23,2005,6,23,0.0,2,5
2005-06-24,2005,6,24,0.0,2,5
2005-06-25,2005,6,25,0.0,2,5
2005-06-26,2005,6,26,1.4,2,5
2005-06-27,2005,6,27,0.0,2,5
2005-06-28,2005,6,28,0.0,2,5
2005-06-29,2005,6,29,0.0,2,5
2005-06-30,2005,6,30,0.0,2,5
2005-07-01,2005,7,1,0.0,2,5
2005-07-02,2005,7,2,0.0,2,5
2005-07-03,2005,7,3,0.0,2,5
2005-07-04,2005,7,4,0.0,2,5
2005-07-05,2005,7,5,0.7,2,5
2005-07-06,2005,7,6,0.0,2,5
2005-07-07,2005,7,7,5.6,2,5
2005-07-08,2005,7,8,0.0,2,5
2005-07-09,2005,7,9,5.6,2,5
2005-07-10,2005,7,10,22.9,2,5
2005-07-11,2005,7,11,11.1,2,5
2005-07-12,2005,7,12,15.3,2,5
2005-07-13,2005,7,13,22.2,2,5
2005-07-14,2005,7,14,1.4,2,5
2005-07-15,2005,7,15,14.2,2,5
2005-07-16,2005,7,16,0.7,2,5
2005-07-17,2005,7,17,0.0,2,5
2005-07-18,2005,7,18,8.3,2,5
2005-07-19,2005,7,19,0.0,2,5
2005-07-20,2005,7,20,7.6,2,5
2005-07-21,2005,7,21,3.5,2,5
2005-07-22,2005,7,22,5.6,2,5
2005-07-23,2005,7,23,1.4,2,5
2005-07-24,2005,7,24,0.0,2,5
2005-07-25,2005,7,25,0.0,2,5
2005-07-26,2005,7,26,0.0,2,5
2005-07-27,2005,7,27,0.0,2,5
2005-07-28,2005,7,28,0.0,2,5
2005-07-29,2005,7,29,0.0,2,5
2005-07-30,2005,7,30,0.0,2,5
2005-07-31,2005,7,31,0.0,2,5
2005-08-01,2005,8,1,0.0,2,5
2005-08-02,2005,8,2,0.0,2,5
2005-08-03,2005,8,3,0.0,2,5
2005-08-04,2005,8,4,0.0,2,5
2005-08-05,2005,8,5,0.0,2,5
2005-08-06,2005,8,6,0.0,2,5
2005-08-07,2005,8,7,0.7,2,5
2005-08-08,2005,8,8,0.0,2,5
2005-08-09,2005,8,9,0.0,2,5
2005-08-10,2005,8,10,0.0,2,5
2005-08-11,2005,8,11,1.4,2,5
2005-08-12,2005,8,12,1.4,2,5
2005-08-13,2005,8,13,1.4,2,5
2005-08-14,2005,8,14,0.0,2,5
2005-08-15,2005,8,15,1.4,2,5
2005-08-16,2005,8,16,7.6,2,5
2005-08-17,2005,8,17,2.8,2,5
2005-08-18,2005,8,18,6.9,2,5
2005-08-19,2005,8,19,4.2,2,5
2005-08-20,2005,8,20,0.7,2,5
2005-08-21,2005,8,21,8.3,2,5
2005-08-22,2005,8,22,2.1,2,5
2005-08-23,2005,8,23,0.0,2,5
2005-08-24,2005,8,24,8.3,2,5
2005-08-25,2005,8,25,2.1,2,5
2005-08-26,2005,8,26,2.8,2,5
2005-08-27,2005,8,27,0.0,2,5
2005-08-28,2005,8,28,18.1,2,5
2005-08-29,2005,8,29,2.1,2,5
2005-08-30,2005,8,30,18.1,2,5
2005-08-31,2005,8,31,20.8,2,5
2005-09-01,2005,9,1,11.1,2,5
2005-09-02,2005,9,2,18.8,2,5
2005-09-03,2005,9,3,6.9,2,5
2005-09-04,2005,9,4,1.4,2,5
2005-09-05,2005,9,5,0.7,2,5
2005-09-06,2005,9,6,0.7,2,5
2005-09-07,2005,9,7,0.0,2,5
2005-09-08,2005,9,8,1.4,2,5
2005-09-09,2005,9,9,0.0,2,5
2005-09-10,2005,9,10,0.0,2,5
2005-09-11,2005,9,11,0.0,2,5
2005-09-12,2005,9,12,0.0,2,5
2005-09-13,2005,9,13,0.0,2,5
2005-09-14,2005,9,14,0.0,2,5
2005-09-15,2005,9,15,0.0,2,5
2005-09-16,2005,9,16,0.0,2,5
2005-09-17,2005,9,17,0.0,2,5
2005-09-18,2005,9,18,0.0,2,5
2005-09-19,2005,9,19,0.0,2,5
2005-09-20,2005,9,20,0.0,2,5
2005-09-21,2005,9,21,0.0,2,5
2005-09-22,2005,9,22,0.0,2,5
2005-09-23,2005,9,23,0.0,2,5
2005-09-24,2005,9,24,0.0,2,5
2005-09-25,2005,9,25,0.0,2,5
2005-09-26,2005,9,26,0.0,2,5
2005-09-27,2005,9,27,6.9,2,5
2005-09-28,2005,9,28,0.0,2,5
2005-09-29,2005,9,29,0.0,2,5
2005-09-30,2005,9,30,10.4,2,5
2005-10-01,2005,10,1,23.6,2,5
2005-10-02,2005,10,2,20.8,2,5
2005-10-03,2005,10,3,10.6,2,5
2005-10-04,2005,10,4,15.3,2,5
2005-10-05,2005,10,5,0.0,2,5
2005-10-06,2005,10,6,0.0,2,5
2005-10-07,2005,10,7,4.9,2,5
2005-10-08,2005,10,8,3.5,2,5
2005-10-09,2005,10,9,7.6,2,5
2005-10-10,2005,10,10,6.9,2,5
2005-10-11,2005,10,11,5.6,2,5
2005-10-12,2005,10,12,0.0,2,5
2005-10-13,2005,10,13,0.0,2,5
2005-10-14,2005,10,14,9.7,2,5
2005-10-15,2005,10,15,4.9,2,5
2005-10-16,2005,10,16,1.4,2,5
2005-10-17,2005,10,17,0.7,2,5
2005-10-18,2005,10,18,4.2,2,5
2005-10-19,2005,10,19,0.0,2,5
2005-10-20,2005,10,20,5.6,2,5
2005-10-21,2005,10,21,0.0,2,5
2005-10-22,2005,10,22,0.0,2,5
2005-10-23,2005,10,23,0.7,2,5
2005-10-24,2005,10,24,1.4,2,5
2005-10-25,2005,10,25,0.0,2,5
2005-10-26,2005,10,26,9.0,2,5
2005-10-27,2005,10,27,6.9,2,5
2005-10-28,2005,10,28,2.8,2,5
2005-10-29,2005,10,29,23.6,2,5
2005-10-30,2005,10,30,0.0,2,5
2005-10-31,2005,10,31,4.9,2,5
2005-11-01,2005,11,1,22.9,2,5
2005-11-02,2005,11,2,4.9,2,5
2005-11-03,2005,11,3,14.6,2,5
2005-11-04,2005,11,4,0.0,2,5
2005-11-05,2005,11,5,1.4,2,5
2005-11-06,2005,11,6,0.0,2,5
2005-11-07,2005,11,7,1.4,2,5
2005-11-08,2005,11,8,0.0,2,5
2005-11-09,2005,11,9,2.1,2,5
2005-11-10,2005,11,10,0.7,2,5
2005-11-11,2005,11,11,2.8,2,5
2005-11-12,2005,11,12,2.1,2,5
2005-11-13,2005,11,13,0.0,2,5
2005-11-14,2005,11,14,4.9,2,5
2005-11-15,2005,11,15,12.5,2,5
2005-11-16,2005,11,16,18.1,2,5
2005-11-17,2005,11,17,22.9,2,5
2005-11-18,2005,11,18,8.3,2,5
2005-11-19,2005,11,19,3.5,2,5
2005-11-20,2005,11,20,2.8,2,5
2005-11-21,2005,11,21,0.0,2,5
2005-11-22,2005,11,22,0.0,2,5
2005-11-23,2005,11,23,3.5,2,5
2005-11-24,2005,11,24,4.9,2,5
2005-11-25,2005,11,25,0.0,2,5
2005-11-26,2005,11,26,0.0,2,5
2005-11-27,2005,11,27,1.4,2,5
2005-11-28,2005,11,28,0.0,2,5
2005-11-29,2005,11,29,0.0,2,5
2005-11-30,2005,11,30,0.0,2,5
2005-12-01,2005,12,1,0.7,2,5
2005-12-02,2005,12,2,2.1,2,5
2005-12-03,2005,12,3,25.0,2,5
2005-12-04,2005,12,4,7.6,2,5
2005-12-05,2005,12,5,0.0,2,5
2005-12-06,2005,12,6,5.6,2,5
2005-12-07,2005,12,7,1.4,2,5
2005-12-08,2005,12,8,4.9,2,5
2005-12-09,2005,12,9,0.0,2,5
2005-12-10,2005,12,10,0.7,2,5
2005-12-11,2005,12,11,4.2,2,5
2005-12-12,2005,12,12,2.8,2,5
2005-12-13,2005,12,13,8.3,2,5
2005-12-14,2005,12,14,5.6,2,5
2005-12-15,2005,12,15,0.0,2,5
2005-12-16,2005,12,16,3.5,2,5
2005-12-17,2005,12,17,1.4,2,5
2005-12-18,2005,12,18,1.4,2,5
2005-12-19,2005,12,19,1.4,2,5
2005-12-20,2005,12,20,2.8,2,5
2005-12-21,2005,12,21,13.2,2,5
2005-12-22,2005,12,22,1.4,2,5
2005-12-23,2005,12,23,0.7,2,5
2005-12-24,2005,12,24,0.0,2,5
2005-12-25,2005,12,25,0.0,2,5
2005-12-26,2005,12,26,2.1,2,5
2005-12-27,2005,12,27,15.3,2,5
2005-12-28,2005,12,28,6.2,2,5
2005-12-29,2005,12,29,4.9,2,5
2005-12-30,2005,12,30,0.0,2,5
2005-12-31,2005,12,31,0.0,2,5
2006-01-01,2006,1,1,0.0,2,5
2006-01-02,2006,1,2,0.0,2,5
2006-01-03,2006,1,3,2.8,2,5
2006-01-04,2006,1,4,0.0,2,5
2006-01-05,2006,1,5,0.0,2,5
2006-01-06,2006,1,6,0.0,2,5
2006-01-07,2006,1,7,9.0,2,5
2006-01-08,2006,1,8,4.2,2,5
2006-01-09,2006,1,9,16.7,2,5
2006-01-10,2006,1,10,34.0,2,5
2006-01-11,2006,1,11,0.7,2,5
2006-01-12,2006,1,12,0.0,2,5
2006-01-13,2006,1,13,2.8,2,5
2006-01-14,2006,1,14,0.0,2,5
2006-01-15,2006,1,15,25.7,2,5
2006-01-16,2006,1,16,9.0,2,5
2006-01-17,2006,1,17,2.8,2,5
2006-01-18,2006,1,18,2.8,2,5
2006-01-19,2006,1,19,1.4,2,5
2006-01-20,2006,1,20,0.0,2,5
2006-01-21,2006,1,21,16.7,2,5
2006-01-22,2006,1,22,5.6,2,5
2006-01-23,2006,1,23,0.0,2,5
2006-01-24,2006,1,24,0.0,2,5
2006-01-25,2006,1,25,0.0,2,5
2006-01-26,2006,1,26,0.0,2,5
2006-01-27,2006,1,27,0.0,2,5
2006-01-28,2006,1,28,0.0,2,5
2006-01-29,2006,1,29,0.0,2,5
2006-01-30,2006,1,30,0.0,2,5
2006-01-31,2006,1,31,2.1,2,5
2006-02-01,2006,2,1,0.0,2,5
2006-02-02,2006,2,2,0.0,2,5
2006-02-03,2006,2,3,0.0,2,5
2006-02-04,2006,2,4,0.0,2,5
2006-02-05,2006,2,5,4.9,2,5
2006-02-06,2006,2,6,2.1,2,5
2006-02-07,2006,2,7,6.2,2,5
2006-02-08,2006,2,8,0.0,2,5
2006-02-09,2006,2,9,7.6,2,5
2006-02-10,2006,2,10,2.1,2,5
2006-02-11,2006,2,11,4.2,2,5
2006-02-12,2006,2,12,2.1,2,5
2006-02-13,2006,2,13,6.2,2,5
2006-02-14,2006,2,14,12.5,2,5
2006-02-15,2006,2,15,0.0,2,5
2006-02-16,2006,2,16,1.4,2,5
2006-02-17,2006,2,17,0.0,2,5
2006-02-18,2006,2,18,9.7,2,5
2006-02-19,2006,2,19,0.0,2,5
2006-02-20,2006,2,20,0.7,2,5
2006-02-21,2006,2,21,0.7,2,5
2006-02-22,2006,2,22,4.2,2,5
2006-02-23,2006,2,23,0.0,2,5
2006-02-24,2006,2,24,8.3,2,5
2006-02-25,2006,2,25,8.3,2,5
2006-02-26,2006,2,26,0.7,2,5
2006-02-27,2006,2,27,1.4,2,5
2006-02-28,2006,2,28,0.0,2,5
2006-03-01,2006,3,1,0.0,2,5
2006-03-02,2006,3,2,0.0,2,5
2006-03-03,2006,3,3,0.0,2,5
2006-03-04,2006,3,4,0.0,2,5
2006-03-05,2006,3,5,0.0,2,5
2006-03-06,2006,3,6,0.0,2,5
2006-03-07,2006,3,7,0.0,2,5
2006-03-08,2006,3,8,0.0,2,5
2006-03-09,2006,3,9,0.0,2,5
2006-03-10,2006,3,10,0.0,2,5
2006-03-11,2006,3,11,0.0,2,5
2006-03-12,2006,3,12,0.0,2,5
2006-03-13,2006,3,13,0.0,2,5
2006-03-14,2006,3,14,0.0,2,5
2006-03-15,2006,3,15,5.0,2,5
2006-03-16,2006,3,16,14.8,2,5
2006-03-17,2006,3,17,9.0,2,5
2006-03-18,2006,3,18,0.0,2,5
2006-03-19,2006,3,19,9.7,2,5
2006-03-20,2006,3,20,2.8,2,5
2006-03-21,2006,3,21,11.1,2,5
2006-03-22,2006,3,22,2.1,2,5
2006-03-23,2006,3,23,5.6,2,5
2006-03-24,2006,3,24,0.0,2,5
2006-03-25,2006,3,25,10.4,2,5
2006-03-26,2006,3,26,4.9,2,5
2006-03-27,2006,3,27,2.1,2,5
2006-03-28,2006,3,28,0.0,2,5
2006-03-29,2006,3,29,0.0,2,5
2006-03-30,2006,3,30,0.0,2,5
2006-03-31,2006,3,31,0.7,2,5
2006-04-01,2006,4,1,0.0,2,5
2006-04-02,2006,4,2,0.0,2,5
2006-04-03,2006,4,3,0.0,2,5
2006-04-04,2006,4,4,0.0,2,5
2006-04-05,2006,4,5,0.0,2,5
2006-04-06,2006,4,6,0.0,2,5
2006-04-07,2006,4,7,6.4,2,5
2006-04-08,2006,4,8,0.0,2,5
2006-04-09,2006,4,9,0.0,2,5
2006-04-10,2006,4,10,0.0,2,5
2006-04-11,2006,4,11,0.0,2,5
2006-04-12,2006,4,12,1.4,2,5
2006-04-13,2006,4,13,0.0,2,5
2006-04-14,2006,4,14,1.4,2,5
2006-04-15,2006,4,15,4.2,2,5
2006-04-16,2006,4,16,4.2,2,5
2006-04-17,2006,4,17,2.1,2,5
2006-04-18,2006,4,18,1.4,2,5
2006-04-19,2006,4,19,3.5,2,5
2006-04-20,2006,4,20,5.6,2,5
2006-04-21,2006,4,21,2.8,2,5
2006-04-22,2006,4,22,11.1,2,5
2006-04-23,2006,4,23,12.5,2,5
2006-04-24,2006,4,24,6.9,2,5
2006-04-25,2006,4,25,4.2,2,5
2006-04-26,2006,4,26,0.0,2,5
2006-04-27,2006,4,27,0.0,2,5
2006-04-28,2006,4,28,3.5,2,5
2006-04-29,2006,4,29,0.0,2,5
2006-04-30,2006,4,30,0.0,2,5
2006-05-01,2006,5,1,0.0,2,5
2006-05-02,2006,5,2,0.0,2,5
2006-05-03,2006,5,3,0.0,2,5
2006-05-04,2006,5,4,0.0,2,5
2006-05-05,2006,5,5,0.0,2,5
2006-05-06,2006,5,6,0.0,2,5
2006-05-07,2006,5,7,1.4,2,5
2006-05-08,2006,5,8,9.7,2,5
2006-05-09,2006,5,9,0.0,2,5
2006-05-10,2006,5,10,0.0,2,5
2006-05-11,2006,5,11,0.0,2,5
2006-05-12,2006,5,12,0.0,2,5
2006-05-13,2006,5,13,0.0,2,5
2006-05-14,2006,5,14,0.0,2,5
2006-05-15,2006,5,15,6.9,2,5
2006-05-16,2006,5,16,0.0,2,5
2006-05-17,2006,5,17,10.4,2,5
2006-05-18,2006,5,18,0.0,2,5
2006-05-19,2006,5,19,7.6,2,5
2006-05-20,2006,5,20,0.0,2,5
2006-05-21,2006,5,21,0.0,2,5
2006-05-22,2006,5,22,2.1,2,5
2006-05-23,2006,5,23,5.0,2,1
2006-09-12,2006,9,12,24.0,2,1
2006-09-13,2006,9,13,16.0,2,1
2006-09-14,2006,9,14,5.0,2,1
2006-09-15,2006,9,15,0.0,2,1
2006-09-16,2006,9,16,0.0,2,1
2006-09-17,2006,9,17,0.0,2,1
2006-09-18,2006,9,18,1.0,2,1
2006-09-19,2006,9,19,1.0,2,1
2006-09-20,2006,9,20,1.0,2,1
2006-09-21,2006,9,21,4.0,0,1
2006-09-22,2006,9,22,3.0,2,1
2006-09-23,2006,9,23,5.0,2,1
2006-09-24,2006,9,24,1.0,2,1
2006-09-25,2006,9,25,3.0,2,1
2006-09-26,2006,9,26,6.0,2,1
2006-09-27,2006,9,27,8.0,2,1
2006-09-28,2006,9,28,9.0,2,1
2006-09-29,2006,9,29,15.0,2,1
2006-09-30,2006,9,30,9.0,2,1
2006-10-01,2006,10,1,0.0,2,1
2006-10-02,2006,10,2,8.0,2,1
2006-10-03,2006,10,3,0.0,0,1
2006-10-04,2006,10,4,0.0,2,1
2006-10-05,2006,10,5,0.0,2,1
2006-10-06,2006,10,6,0.0,2,1
2006-10-07,2006,10,7,0.0,2,1
2006-10-08,2006,10,8,0.0,2,1
2006-10-09,2006,10,9,0.0,2,1
2006-10-10,2006,10,10,0.0,2,1
2006-10-11,2006,10,11,0.0,2,1
2006-10-12,2006,10,12,0.0,2,1
2006-10-13,2006,10,13,0.0,2,1
2006-10-14,2006,10,14,8.0,2,1
2006-10-15,2006,10,15,18.0,0,1
2007-09-29,2007,9,29,2.0,2,1
2007-09-30,2007,9,30,9.0,2,1
2007-10-01,2007,10,1,0.0,2,1
2007-10-02,2007,10,2,0.0,2,1
2007-10-03,2007,10,3,1.0,2,1
2007-10-04,2007,10,4,0.0,2,1
2007-10-05,2007,10,5,3.0,2,1
2007-10-06,2007,10,6,1.0,2,1
2007-10-07,2007,10,7,0.0,2,1
2007-10-08,2007,10,8,6.0,2,1
2007-10-09,2007,10,9,2.0,2,1
2007-10-10,2007,10,10,0.0,2,1
2007-10-11,2007,10,11,0.0,2,1
2007-10-12,2007,10,12,1.0,2,1
2007-10-13,2007,10,13,10.0,2,1
2007-10-14,2007,10,14,0.0,2,1
2007-10-15,2007,10,15,4.0,2,1
2007-10-16,2007,10,16,21.0,2,1
2007-10-17,2007,10,17,2.0,2,1
2007-10-18,2007,10,18,1.0,2,1
2007-10-19,2007,10,19,5.0,2,1
2007-10-20,2007,10,20,5.0,2,1
2007-10-21,2007,10,21,5.0,2,1
2007-10-22,2007,10,22,15.0,2,1
2007-10-23,2007,10,23,10.0,2,1
2007-10-24,2007,10,24,0.0,2,1
2007-10-25,2007,10,25,0.0,2,1
2007-10-26,2007,10,26,1.0,2,1
2007-10-27,2007,10,27,0.0,2,1
2007-10-28,2007,10,28,0.0,2,1
2007-10-29,2007,10,29,3.0,2,1
2007-10-30,2007,10,30,0.0,2,1
2007-10-31,2007,10,31,0.0,2,1
2007-11-01,2007,11,1,5.0,2,1
2007-11-02,2007,11,2,4.0,2,1
2007-11-03,2007,11,3,3.0,2,1
2007-11-04,2007,11,4,0.0,2,1
2007-11-05,2007,11,5,6.0,2,1
2007-11-06,2007,11,6,1.0,2,1
2007-11-07,2007,11,7,4.0,2,1
2007-11-08,2007,11,8,16.0,2,1
2007-11-09,2007,11,9,3.0,2,1
2007-11-10,2007,11,10,8.0,2,1
2007-11-11,2007,11,11,4.0,2,1
2007-11-12,2007,11,12,12.0,2,1
2007-11-13,2007,11,13,6.0,2,1
2007-11-14,2007,11,14,5.0,2,1
2007-11-15,2007,11,15,0.0,2,1
2007-11-16,2007,11,16,0.0,2,1
2007-11-17,2007,11,17,0.0,2,1
2007-11-18,2007,11,18,1.0,2,1
2007-11-19,2007,11,19,3.0,2,1
2007-11-20,2007,11,20,0.0,2,1
2007-11-21,2007,11,21,1.0,2,1
2007-11-22,2007,11,22,0.0,2,1
2007-11-23,2007,11,23,0.0,2,1
2007-11-24,2007,11,24,0.0,2,1
2007-11-25,2007,11,25,0.0,2,1
2007-11-26,2007,11,26,0.0,2,1
2007-11-27,2007,11,27,3.0,2,1
2007-11-28,2007,11,28,13.0,2,1
2007-11-29,2007,11,29,7.0,2,1
2007-11-30,2007,11,30,4.0,2,1
2007-12-01,2007,12,1,0.0,2,1
2007-12-02,2007,12,2,0.0,2,1
2007-12-03,2007,12,3,4.0,2,1
2007-12-04,2007,12,4,17.0,2,1
2007-12-05,2007,12,5,3.0,2,1
2007-12-06,2007,12,6,0.0,2,1
2007-12-07,2007,12,7,1.0,2,1
2007-12-08,2007,12,8,14.0,2,1
2007-12-09,2007,12,9,29.0,2,1
2007-12-10,2007,12,10,0.0,2,1
2007-12-11,2007,12,11,8.0,2,1
2007-12-12,2007,12,12,0.0,2,1
2007-12-13,2007,12,13,2.0,2,1
2007-12-14,2007,12,14,22.0,2,1
2007-12-15,2007,12,15,0.0,2,1
2007-12-16,2007,12,16,1.0,2,1
2007-12-17,2007,12,17,0.0,2,1
2007-12-18,2007,12,18,1.0,2,1
2007-12-19,2007,12,19,1.0,2,1
2007-12-20,2007,12,20,0.0,2,1
2007-12-21,2007,12,21,6.0,2,1
2007-12-22,2007,12,22,8.0,2,1
2007-12-23,2007,12,23,22.0,2,1
2007-12-24,2007,12,24,8.0,2,1
2007-12-25,2007,12,25,2.0,2,1
2007-12-26,2007,12,26,2.0,2,1
2007-12-27,2007,12,27,5.0,2,1
2007-12-28,2007,12,28,4.0,2,1
2007-12-29,2007,12,29,2.0,2,1
