Date,Year,Month,Day,RH
2005-03-11,2005,3,11,5
2005-03-12,2005,3,12,5
2005-03-13,2005,3,13,5
2005-03-14,2005,3,14,5
2005-03-15,2005,3,15,5
2005-03-16,2005,3,16,5
2005-03-17,2005,3,17,5
2005-03-18,2005,3,18,5
2005-03-19,2005,3,19,5
2005-03-20,2005,3,20,5
2006-09-12,2006,9,12,1
2006-09-13,2006,9,13,1
2006-09-14,2006,9,14,1
2006-09-15,2006,9,15,1
2006-09-16,2006,9,16,1
2006-09-17,2006,9,17,1
2006-09-18,2006,9,18,1
2006-09-19,2006,9,19,1
2006-09-20,2006,9,20,1
2006-09-21,2006,9,21,1
2006-09-22,2006,9,22,1
2006-09-23,2006,9,23,1
2006-09-24,2006,9,24,1
2006-09-25,2006,9,25,1
2006-09-26,2006,9,26,1
2006-09-27,2006,9,27,1
2006-09-28,2006,9,28,1
2006-09-29,2006,9,29,1
2006-09-30,2006,9,30,1
2006-10-01,2006,10,1,1
2006-10-02,2006,10,2,1
2006-10-03,2006,10,3,1
2006-10-04,2006,10,4,1
2006-10-05,2006,10,5,1
2006-10-06,2006,10,6,1
2006-10-07,2006,10,7,1
2006-10-08,2006,10,8,1
2006-10-09,2006,10,9,1
2006-10-10,2006,10,10,1
2006-10-11,2006,10,11,1
2006-10-12,2006,10,12,1
2006-10-13,2006,10,13,1
2006-10-14,2006,10,14,1
2006-10-15,2006,10,15,1
2006-10-16,2006,10,16,1
2006-10-17,2006,10,17,1
2006-10-18,2006,10,18,1
2006-10-19,2006,10,19,1
2006-10-20,2006,10,20,1
2006-10-21,2006,10,21,1
2006-10-22,2006,10,22,1
2006-10-23,2006,10,23,1
2006-10-24,2006,10,24,1
2006-10-25,2006,10,25,1
2006-10-26,2006,10,26,1
2006-10-27,2006,10,27,1
2006-10-28,2006,10,28,1
2006-10-29,2006,10,29,1
2006-10-30,2006,10,30,1
2006-10-31,2006,10,31,1
2007-09-29,2007,9,29,1
2007-09-30,2007,9,30,1
2007-10-01,2007,10,1,1
2007-10-02,2007,10,2,1
2007-10-03,2007,10,3,1
2007-10-04,2007,10,4,1
2007-10-05,2007,10,5,1
2007-10-06,2007,10,6,1
2007-10-07,2007,10,7,1
2007-10-08,2007,10,8,1
2007-10-09,2007,10,9,1
2007-10-10,2007,10,10,1
2007-10-11,2007,10,11,1
2007-10-12,2007,10,12,1
2007-10-13,2007,10,13,1
2007-10-14,2007,10,14,1
2007-10-15,2007,10,15,1
2007-10-16,2007,10,16,1
2007-10-17,2007,10,17,1
2007-10-18,2007,10,18,1
2007-10-19,2007,10,19,1
2007-10-20,2007,10,20,1
2007-10-21,2007,10,21,1
2007-10-22,2007,10,22,1
2007-10-23,2007,10,23,1
2007-10-24,2007,10,24,1
2007-10-25,2007,10,25,1
2007-10-26,2007,10,26,1
2007-10-27,2007,10,27,1
2007-10-28,2007,10,28,1
2007-10-29,2007,10,29,1
2007-10-30,2007,10,30,1
2007-10-31,2007,10,31,1
2007-11-01,2007,11,1,1
2007-11-02,2007,11,2,1
2007-11-03,2007,11,3,1
2007-11-04,2007,11,4,1
2007-11-05,2007,11,5,1
2007-11-06,2007,11,6,1
2007-11-07,2007,11,7,1
2007-11-08,2007,11,8,1
2007-11-09,2007,11,9,1
2007-11-10,2007,11,10,1
2007-11-11,2007,11,11,1
2007-11-12,2007,11,12,1
2007-11-13,2007,11,13,1
2007-11-14,2007,11,14,1
2007-11-15,2007,11,15,1
2007-11-16,2007,11,16,1
2007-11-17,2007,11,17,1
2007-11-18,2007,11,18,1
2007-11-19,2007,11,19,1
2007-11-20,2007,11,20,1
2007-11-21,2007,11,21,1
2007-11-22,2007,11,22,1
2007-11-23,2007,11,23,1
2007-11-24,2007,11,24,1
2007-11-25,2007,11,25,1
2007-11-26,2007,11,26,1
2007-11-27,2007,11,27,1
2007-11-28,2007,11,28,1
2007-11-29,2007,11,29,1
2007-11-30,2007,11,30,1
2007-12-01,2007,12,1,1
2007-12-02,2007,12,2,1
2007-12-03,2007,12,3,1
2007-12-04,2007,12,4,1
2007-12-05,2007,12,5,1
2007-12-06,2007,12,6,1
2007-12-07,2007,12,7,1
2007-12-08,2007,12,8,1
2007-12-09,2007,12,9,1
2007-12-10,2007,12,10,1
2007-12-11,2007,12,11,1
2007-12-12,2007,12,12,1
2007-12-13,2007,12,13,1
2007-12-14,2007,12,14,1
2007-12-15,2007,12,15,1
2007-12-16,2007,12,16,1
2007-12-17,2007,12,17,1
2007-12-18,2007,12,18,1
2007-12-19,2007,12,19,1
2007-12-20,2007,12,20,1
2007-12-21,2007,12,21,1
2007-12-22,2007,12,22,1
2007-12-23,2007,12,23,1
2007-12-24,2007,12,24,1
2007-12-25,2007,12,25,1
2007-12-26,2007,12,26,1
2007-12-27,2007,12,27,1
2007-12-28,2007,12,28,1
2007-12-29,2007,12,29,1
2007-12-30,2007,12,30,1
2007-12-31,2007,12,31,1
2008-01-01,2008,1,1,1
2008-01-02,2008,1,2,1
2008-01-03,2008,1,3,1
2008-01-04,2008,1,4,1
2008-01-05,2008,1,5,1
2008-01-06,2008,1,6,1
2008-01-07,2008,1,7,1
2008-01-08,2008,1,8,1
2008-01-09,2008,1,9,1
2008-01-10,2008,1,10,1
2008-01-11,2008,1,11,1
2008-01-12,2008,1,12,1
2008-01-13,2008,1,13,1
2008-01-14,2008,1,14,1
2008-01-15,2008,1,15,1
2008-01-16,2008,1,16,1
2008-01-17,2008,1,17,1
2008-01-18,2008,1,18,1
2008-01-19,2008,1,19,1
2008-01-20,2008,1,20,1
2008-01-21,2008,1,21,1
2008-01-22,2008,1,22,1
2008-01-23,2008,1,23,1
2008-01-24,2008,1,24,1
2008-01-25,2008,1,25,1
2008-01-26,2008,1,26,1
2008-01-27,2008,1,27,1
2008-01-28,2008,1,28,1
2008-01-29,2008,1,29,1
2008-01-30,2008,1,30,1
2008-01-31,2008,1,31,1
2008-02-01,2008,2,1,1
2008-02-02,2008,2,2,1
2008-02-03,2008,2,3,1
2008-02-04,2008,2,4,1
2008-02-05,2008,2,5,1
2008-02-06,2008,2,6,1
2008-02-07,2008,2,7,1
2008-02-08,2008,2,8,1
2008-02-09,2008,2,9,1
2008-02-10,2008,2,10,1
2008-02-11,2008,2,11,1
2008-02-12,2008,2,12,1
2008-02-13,2008,2,13,1
2008-02-14,2008,2,14,1
2008-02-15,2008,2,15,1
2008-02-16,2008,2,16,1
2008-02-17,2008,2,17,1
2008-02-18,2008,2,18,1
2008-02-19,2008,2,19,1
2008-02-20,2008,2,20,1
2008-02-21,2008,2,21,1
2008-02-22,2008,2,22,1
2008-02-23,2008,2,23,1
2008-02-24,2008,2,24,1
2008-02-25,2008,2,25,1
2008-02-26,2008,2,26,1
2008-02-27,2008,2,27,1
2008-02-28,2008,2,28,1
2008-02-29,2008,2,29,1
2008-03-01,2008,3,1,1
2008-03-02,2008,3,2,1
2008-03-03,2008,3,3,1
2008-03-04,2008,3,4,1
2008-03-05,2008,3,5,1
2008-03-06,2008,3,6,1
2008-03-07,2008,3,7,1
2008-03-08,2008,3,8,1
2008-03-09,2008,3,9,1
2008-03-10,2008,3,10,1
2008-03-11,2008,3,11,1
2008-03-12,2008,3,12,1
2008-03-13,2008,3,13,1
2008-03-14,2008,3,14,1
2008-03-15,2008,3,15,1
2008-03-16,2008,3,16,1
2008-03-17,2008,3,17,1
2008-03-18,2008,3,18,1
2008-03-19,2008,3,19,1
2008-03-20,2008,3,20,1
2008-03-21,2008,3,21,1
2008-03-22,2008,3,22,1
2008-03-23,2008,3,23,1
2008-03-24,2008,3,24,1
2008-03-25,2008,3,25,1
2008-03-26,2008,3,26,1
2008-03-27,2008,3,27,1
2008-03-28,2008,3,28,1
2008-03-29,2008,3,29,1
2008-03-30,2008,3,30,1
2008-03-31,2008,3,31,1
2008-04-01,2008,4,1,1
2008-04-02,2008,4,2,1
2008-04-03,2008,4,3,1
2008-04-04,2008,4,4,1
2008-04-05,2008,4,5,1
2008-04-06,2008,4,6,1
2008-04-07,2008,4,7,1
2008-04-08,2008,4,8,1
2008-04-09,2008,4,9,1
2008-04-10,2008,4,10,1
2008-04-11,2008,4,11,1
2008-04-12,2008,4,12,1
2008-04-13,2008,4,13,1
2008-04-14,2008,4,14,1
2008-04-15,2008,4,15,1
2008-04-16,2008,4,16,1
2008-04-17,2008,4,17,1
2008-04-18,2008,4,18,1
2008-04-19,2008,4,19,1
2008-04-20,2008,4,20,1
2008-04-21,2008,4,21,1
2008-04-22,2008,4,22,1
2008-04-23,2008,4,23,1
2008-04-24,2008,4,24,1
2008-04-25,2008,4,25,1
2008-04-26,2008,4,26,1
2008-04-27,2008,4,27,1
2008-04-28,2008,4,28,1
2008-04-29,2008,4,29,1
2008-04-30,2008,4,30,1
2008-05-01,2008,5,1,1
2008-05-02,2008,5,2,1
2008-05-03,2008,5,3,1
2008-05-04,2008,5,4,1
2008-05-05,2008,5,5,1
2008-05-06,2008,5,6,1
2008-05-07,2008,5,7,1
2008-05-08,2008,5,8,1
2008-05-09,2008,5,9,1
2008-05-10,2008,5,10,1
2008-05-11,2008,5,11,1
2008-05-12,2008,5,12,1
2008-05-13,2008,5,13,1
2008-05-14,2008,5,14,1
2008-05-15,2008,5,15,1
2008-05-16,2008,5,16,1
2008-05-17,2008,5,17,1
2008-05-18,2008,5,18,1
2008-05-19,2008,5,19,1
2008-05-20,2008,5,20,1
2008-05-21,2008,5,21,1
2008-05-22,2008,5,22,1
2008-05-23,2008,5,23,1
2008-05-24,2008,5,24,1
2008-05-25,2008,5,25,1
2008-05-26,2008,5,26,1
2008-05-27,2008,5,27,1
2008-05-28,2008,5,28,1
2008-05-29,2008,5,29,1
2008-05-30,2008,5,30,1
2008-05-31,2008,5,31,1
2008-06-01,2008,6,1,1
2008-06-02,2008,6,2,1
2008-06-03,2008,6,3,1
2008-06-04,2008,6,4,1
2008-06-05,2008,6,5,1
2008-06-06,2008,6,6,1
2008-06-07,2008,6,7,1
2008-06-08,2008,6,8,1
2008-06-09,2008,6,9,1
2008-06-10,2008,6,10,1
2008-06-11,2008,6,11,1
2008-06-12,2008,6,12,1
2008-06-13,2008,6,13,1
2008-06-14,2008,6,14,1
2008-06-15,2008,6,15,1
2008-06-16,2008,6,16,1
2008-06-17,2008,6,17,1
2008-06-18,2008,6,18,1
2008-06-19,2008,6,19,1
2008-06-20,2008,6,20,1
2008-06-21,2008,6,21,1
2008-06-22,2008,6,22,1
2008-06-23,2008,6,23,1
2008-06-24,2008,6,24,1
2008-06-25,2008,6,25,1
2008-06-26,2008,6,26,1
2008-06-27,2008,6,27,1
2008-06-28,2008,6,28,1
2008-06-29,2008,6,29,1
2008-06-30,2008,6,30,1
2008-07-01,2008,7,1,1
2008-07-02,2008,7,2,1
2008-07-03,2008,7,3,1
2008-07-04,2008,7,4,1
2008-07-05,2008,7,5,1
2008-07-06,2008,7,6,1
2008-07-07,2008,7,7,1
2008-07-08,2008,7,8,1
2008-07-09,2008,7,9,1
2008-07-10,2008,7,10,1
2008-07-11,2008,7,11,1
2008-07-12,2008,7,12,1
2008-07-13,2008,7,13,1
2008-07-14,2008,7,14,1
2008-07-15,2008,7,15,1
2008-07-16,2008,7,16,1
2008-07-17,2008,7,17,1
2008-07-18,2008,7,18,1
2008-07-19,2008,7,19,1
2008-07-20,2008,7,20,1
2008-07-21,2008,7,21,1
2008-07-22,2008,7,22,1
2008-07-23,2008,7,23,1
2008-07-24,2008,7,24,1
2008-07-25,2008,7,25,1
2008-07-26,2008,7,26,1
2008-07-27,2008,7,27,1
2008-07-28,2008,7,28,1
2008-07-29,2008,7,29,1
2008-07-30,2008,7,30,1
2008-07-31,2008,7,31,1
2008-08-01,2008,8,1,1
2008-08-02,2008,8,2,1
2008-08-03,2008,8,3,1
2008-08-04,2008,8,4,1
2008-08-05,2008,8,5,1
2008-08-06,2008,8,6,1
2008-08-07,2008,8,7,1
2008-08-08,2008,8,8,1
2008-08-09,2008,8,9,1
2008-08-10,2008,8,10,1
2008-08-11,2008,8,11,1
2008-08-12,2008,8,12,1
2008-08-13,2008,8,13,1
2008-08-14,2008,8,14,1
2008-08-15,2008,8,15,1
2008-08-16,2008,8,16,1
2008-08-17,2008,8,17,1
2008-08-18,2008,8,18,1
2008-08-19,2008,8,19,1
2008-08-20,2008,8,20,1
2008-08-21,2008,8,21,1
2008-08-22,2008,8,22,1
2008-08-23,2008,8,23,1
2008-08-24,2008,8,24,1
2008-08-25,2008,8,25,1
2008-08-26,2008,8,26,1
2008-08-27,2008,8,27,1
2008-08-28,2008,8,28,1
2008-08-29,2008,8,29,1
2008-08-30,2008,8,30,1
2008-08-31,2008,8,31,1
2008-09-01,2008,9,1,1
2008-09-02,2008,9,2,1
2008-09-03,2008,9,3,1
2008-09-04,2008,9,4,1
2008-09-05,2008,9,5,1
2008-09-06,2008,9,6,1
2008-09-07,2008,9,7,1
2008-09-08,2008,9,8,1
2008-09-09,2008,9,9,1
2008-09-10,2008,9,10,1
2008-09-11,2008,9,11,1
2008-09-12,2008,9,12,1
2008-09-13,2008,9,13,1
2008-09-14,2008,9,14,1
2008-09-15,2008,9,15,1
2008-09-16,2008,9,16,1
2008-09-17,2008,9,17,1
2008-09-18,2008,9,18,1
2008-09-19,2008,9,19,1
2008-09-20,2008,9,20,1
2008-09-21,2008,9,21,1
2008-09-22,2008,9,22,1
2008-09-23,2008,9,23,1
2008-09-24,2008,9,24,1
2008-09-25,2008,9,25,1
2008-09-26,2008,9,26,1
2008-09-27,2008,9,27,1
2008-09-28,2008,9,28,1
2008-09-29,2008,9,29,1
2008-09-30,2008,9,30,1
2008-10-01,2008,10,1,1
2008-10-02,2008,10,2,1
2008-10-03,2008,10,3,1
2008-10-04,2008,10,4,1
2008-10-05,2008,10,5,1
2008-10-06,2008,10,6,1
2008-10-07,2008,10,7,1
2008-10-08,2008,10,8,1
2008-10-09,2008,10,9,1
2008-10-10,2008,10,10,1
2008-10-11,2008,10,11,1
2008-10-12,2008,10,12,1
2008-10-13,2008,10,13,1
2008-10-14,2008,10,14,1
2008-10-15,2008,10,15,1
2008-10-16,2008,10,16,1
2008-10-17,2008,10,17,1
2008-10-18,2008,10,18,1
2008-10-19,2008,10,19,1
2008-10-20,2008,10,20,1
2008-10-21,2008,10,21,1
2008-10-22,2008,10,22,1
2008-10-23,2008,10,23,1
2008-10-24,2008,10,24,1
2008-10-25,2008,10,25,1
2008-10-26,2008,10,26,1
2008-10-27,2008,10,27,1
2008-10-28,2008,10,28,1
2008-10-29,2008,10,29,1
2008-10-30,2008,10,30,1
2008-10-31,2008,10,31,1
2008-11-01,2008,11,1,1
2008-11-02,2008,11,2,1
2008-11-03,2008,11,3,1
2008-11-04,2008,11,4,1
2008-11-05,2008,11,5,1
2008-11-06,2008,11,6,1
2008-11-07,2008,11,7,1
2008-11-08,2008,11,8,1
2008-11-09,2008,11,9,1
2008-11-10,2008,11,10,1
2008-11-11,2008,11,11,1
2008-11-12,2008,11,12,1
2008-11-13,2008,11,13,1
2008-11-14,2008,11,14,1
2008-11-15,2008,11,15,1
2008-11-16,2008,11,16,1
2008-11-17,2008,11,17,1
2008-11-18,2008,11,18,1
2008-11-19,2008,11,19,1
2008-11-20,2008,11,20,1
2008-11-21,2008,11,21,1
2008-11-22,2008,11,22,1
2008-11-23,2008,11,23,1
2008-11-24,2008,11,24,1
2008-11-25,2008,11,25,1
2008-11-26,2008,11,26,1
2008-11-27,2008,11,27,1
2008-11-28,2008,11,28,1
2008-11-29,2008,11,29,1
2008-11-30,2008,11,30,1
2008-12-01,2008,12,1,1
2008-12-02,2008,12,2,1
2008-12-03,2008,12,3,1
2008-12-04,2008,12,4,1
2008-12-05,2008,12,5,1
2008-12-06,2008,12,6,1
2008-12-07,2008,12,7,1
2008-12-08,2008,12,8,1
2008-12-09,2008,12,9,1
2008-12-10,2008,12,10,1
2008-12-11,2008,12,11,1
2008-12-12,2008,12,12,1
2008-12-13,2008,12,13,1
2008-12-14,2008,12,14,1
2008-12-15,2008,12,15,1
2008-12-16,2008,12,16,1
2008-12-17,2008,12,17,1
2008-12-18,2008,12,18,1
2008-12-19,2008,12,19,1
2008-12-20,2008,12,20,1
2008-12-21,2008,12,21,1
2008-12-22,2008,12,22,1
2008-12-23,2008,12,23,1
2008-12-24,2008,12,24,1
2008-12-25,2008,12,25,1
2008-12-26,2008,12,26,1
2008-12-27,2008,12,27,1
2008-12-28,2008,12,28,1
2008-12-29,2008,12,29,1
2008-12-30,2008,12,30,1
2008-12-31,2008,12,31,1
2009-01-01,2009,1,1,1
2009-01-02,2009,1,2,1
2009-01-03,2009,1,3,1
2009-01-04,2009,1,4,1
2009-01-05,2009,1,5,1
2009-01-06,2009,1,6,1
2009-01-07,2009,1,7,1
2009-01-08,2009,1,8,1
2009-01-09,2009,1,9,1
2009-01-10,2009,1,10,1
2009-01-11,2009,1,11,1
2009-01-12,2009,1,12,1
2009-01-13,2009,1,13,1
2009-01-14,2009,1,14,1
2009-01-15,2009,1,15,1
2009-01-16,2009,1,16,1
2009-01-17,2009,1,17,1
2009-01-18,2009,1,18,1
2009-01-19,2009,1,19,1
2009-01-20,2009,1,20,1
2009-01-21,2009,1,21,1
2009-01-22,2009,1,22,1
2009-01-23,2009,1,23,1
2009-01-24,2009,1,24,1
2009-01-25,2009,1,25,1
2009-01-26,2009,1,26,1
2009-01-27,2009,1,27,1
2009-01-28,2009,1,28,1
2009-01-29,2009,1,29,1
2009-01-30,2009,1,30,1
2009-01-31,2009,1,31,1
2009-02-01,2009,2,1,1
2009-02-02,2009,2,2,1
2009-02-03,2009,2,3,1
2009-02-04,2009,2,4,1
2009-02-05,2009,2,5,1
2009-02-06,2009,2,6,1
2009-02-07,2009,2,7,1
2009-02-08,2009,2,8,1
2009-02-09,2009,2,9,1
2009-02-10,2009,2,10,1
2009-02-11,2009,2,11,1
2009-02-12,2009,2,12,1
2009-02-13,2009,2,13,1
2009-02-14,2009,2,14,1
2009-02-15,2009,2,15,1
2009-02-16,2009,2,16,1
2009-02-17,2009,2,17,1
2009-02-18,2009,2,18,1
2009-07-31,2009,7,31,5
2009-08-01,2009,8,1,5
2009-08-02,2009,8,2,5
2009-08-03,2009,8,3,5
2009-08-04,2009,8,4,5
2009-08-05,2009,8,5,5
2009-08-06,2009,8,6,5
2009-08-07,2009,8,7,5
2009-08-08,2009,8,8,5
2009-08-09,2009,8,9,5
2009-08-10,2009,8,10,5
2009-08-11,2009,8,11,5
2009-08-12,2009,8,12,5
2009-08-13,2009,8,13,5
2009-08-14,2009,8,14,5
2009-08-15,2009,8,15,5
2009-08-16,2009,8,16,5
2009-08-17,2009,8,17,5
2009-08-18,2009,8,18,5
2009-08-19,2009,8,19,5
2009-08-20,2009,8,20,5
2009-08-21,2009,8,21,5
2009-08-22,2009,8,22,5
2009-08-23,2009,8,23,5
2009-08-24,2009,8,24,5
2009-08-25,2009,8,25,5
2009-08-26,2009,8,26,5
2009-08-27,2009,8,27,5
2009-08-28,2009,8,28,5
2009-08-29,2009,8,29,5
2009-08-30,2009,8,30,5
2009-08-31,2009,8,31,5
2009-09-01,2009,9,1,5
2009-09-02,2009,9,2,5
2009-09-03,2009,9,3,5
2009-09-04,2009,9,4,5
2009-09-05,2009,9,5,5
2009-09-06,2009,9,6,5
2009-09-07,2009,9,7,5
2009-09-08,2009,9,8,5
2009-09-09,2009,9,9,5
2009-09-10,2009,9,10,5
2009-09-11,2009,9,11,5
2009-09-12,2009,9,12,5
2009-09-13,2009,9,13,5
2009-09-14,2009,9,14,5
2009-09-15,2009,9,15,5
2009-09-16,2009,9,16,5
2009-09-17,2009,9,17,5
2009-09-18,2009,9,18,5
2009-09-19,2009,9,19,5
2009-09-20,2009,9,20,5
2009-09-21,2009,9,21,5
2009-09-22,2009,9,22,5
2009-09-23,2009,9,23,5
2009-09-24,2009,9,24,5
2009-09-25,2009,9,25,5
2009-09-26,2009,9,26,5
2009-09-27,2009,9,27,5
2009-09-28,2009,9,28,5
2009-09-29,2009,9,29,5
2009-09-30,2009,9,30,5
2009-10-01,2009,10,1,5
2009-10-02,2009,10,2,5
2009-10-03,2009,10,3,5
2009-10-04,2009,10,4,5
2009-10-05,2009,10,5,5
2009-10-06,2009,10,6,5
2009-10-07,2009,10,7,5
2009-10-08,2009,10,8,5
2009-10-09,2009,10,9,5
2009-10-10,2009,10,10,5
2009-10-11,2009,10,11,5
2009-10-12,2009,10,12,5
2009-10-13,2009,10,13,5
2009-10-14,2009,10,14,5
2009-10-15,2009,10,15,5
2009-10-16,2009,10,16,5
2009-10-17,2009,10,17,5
2009-10-18,2009,10,18,5
2009-10-19,2009,10,19,5
2009-10-20,2009,10,20,5
2009-10-21,2009,10,21,5
2009-10-22,2009,10,22,5
2009-10-23,2009,10,23,5
2009-10-24,2009,10,24,5
2009-10-25,2009,10,25,5
2009-10-26,2009,10,26,5
2009-10-27,2009,10,27,5
2009-10-28,2009,10,28,5
2009-10-29,2009,10,29,5
2009-10-30,2009,10,30,5
2009-10-31,2009,10,31,5
2009-11-01,2009,11,1,5
2009-11-02,2009,11,2,5
2009-11-03,2009,11,3,5
2009-11-04,2009,11,4,5
2009-11-05,2009,11,5,5
2009-11-06,2009,11,6,5
2009-11-07,2009,11,7,5
2009-11-08,2009,11,8,5
2009-11-09,2009,11,9,5
2009-11-10,2009,11,10,5
2009-11-11,2009,11,11,5
2009-11-12,2009,11,12,5
2009-11-13,2009,11,13,5
2009-11-14,2009,11,14,5
2009-11-15,2009,11,15,5
2009-11-16,2009,11,16,5
2009-11-17,2009,11,17,5
2009-11-18,2009,11,18,5
2009-11-19,2009,11,19,5
2009-11-20,2009,11,20,5
2009-11-21,2009,11,21,5
2009-11-22,2009,11,22,5
2009-11-23,2009,11,23,5
2009-11-24,2009,11,24,5
2009-11-25,2009,11,25,5
2009-11-26,2009,11,26,5
2009-11-27,2009,11,27,5
2009-11-28,2009,11,28,5
2009-11-29,2009,11,29,5
2009-11-30,2009,11,30,5
2009-12-01,2009,12,1,5
2009-12-02,2009,12,2,5
2009-12-03,2009,12,3,5
2009-12-04,2009,12,4,5
2009-12-05,2009,12,5,5
2009-12-06,2009,12,6,5
2009-12-07,2009,12,7,5
2009-12-08,2009,12,8,5
2009-12-09,2009,12,9,5
2009-12-10,2009,12,10,5
2009-12-11,2009,12,11,5
2009-12-12,2009,12,12,5
2009-12-13,2009,12,13,5
2009-12-14,2009,12,14,5
2009-12-15,2009,12,15,5
2009-12-16,2009,12,16,5
2009-12-17,2009,12,17,5
2009-12-18,2009,12,18,5
2009-12-19,2009,12,19,5
2009-12-20,2009,12,20,5
2009-12-21,2009,12,21,5
2009-12-22,2009,12,22,5
2009-12-23,2009,12,23,5
2009-12-24,2009,12,24,5
2009-12-25,2009,12,25,5
2009-12-26,2009,12,26,5
2009-12-27,2009,12,27,5
2009-12-28,2009,12,28,5
2009-12-29,2009,12,29,5
2009-12-30,2009,12,30,5
2009-12-31,2009,12,31,5
2010-01-01,2010,1,1,5
2010-01-02,2010,1,2,5
2010-01-03,2010,1,3,5
2010-01-04,2010,1,4,5
2010-01-05,2010,1,5,5
2010-01-06,2010,1,6,5
2010-01-07,2010,1,7,5
2010-01-08,2010,1,8,5
2010-01-09,2010,1,9,5
2010-01-10,2010,1,10,5
2010-01-11,2010,1,11,5
2010-01-12,2010,1,12,5
2010-01-13,2010,1,13,5
2010-01-14,2010,1,14,5
2010-01-15,2010,1,15,5
2010-01-16,2010,1,16,5
2010-01-17,2010,1,17,5
2010-01-18,2010,1,18,5
2010-01-19,2010,1,19,5
2010-01-20,2010,1,20,5
2010-01-21,2010,1,21,5
2010-01-22,2010,1,22,5
2010-01-23,2010,1,23,5
2010-01-24,2010,1,24,5
2010-01-25,2010,1,25,5
2010-01-26,2010,1,26,5
2010-01-27,2010,1,27,5
2010-01-28,2010,1,28,5
2010-01-29,2010,1,29,5
2010-01-30,2010,1,30,5
2010-01-31,2010,1,31,5
2010-02-01,2010,2,1,5
2010-02-02,2010,2,2,5
2010-02-03,2010,2,3,5
2010-02-04,2010,2,4,5
2010-02-05,2010,2,5,5
2010-02-06,2010,2,6,5
2010-02-07,2010,2,7,5
2010-02-08,2010,2,8,5
2010-02-09,2010,2,9,5
2010-02-10,2010,2,10,5
2010-02-11,2010,2,11,5
2010-02-12,2010,2,12,5
2010-02-13,2010,2,13,5
2010-02-14,2010,2,14,5
2010-02-15,2010,2,15,5
2010-02-16,2010,2,16,5
2010-02-17,2010,2,17,5
2010-02-18,2010,2,18,5
2010-02-19,2010,2,19,5
2010-02-20,2010,2,20,5
2010-02-21,2010,2,21,5
2010-02-22,2010,2,22,5
2010-02-23,2010,2,23,5
2010-02-24,2010,2,24,5
2010-02-25,2010,2,25,5
2010-02-26,2010,2,26,5
2010-02-27,2010,2,27,5
2010-02-28,2010,2,28,5
2010-03-01,2010,3,1,5
2010-03-02,2010,3,2,5
2010-03-03,2010,3,3,5
2010-03-04,2010,3,4,5
2010-03-05,2010,3,5,5
2010-03-06,2010,3,6,5
2010-03-07,2010,3,7,5
2010-03-08,2010,3,8,5
2010-03-09,2010,3,9,5
2010-03-10,2010,3,10,5
2010-03-11,2010,3,11,5
2010-03-12,2010,3,12,5
2010-03-13,2010,3,13,5
2010-03-14,2010,3,14,5
2010-03-15,2010,3,15,5
2010-03-16,2010,3,16,5
2010-03-17,2010,3,17,5
2010-03-18,2010,3,18,5
2010-03-19,2010,3,19,5
2010-03-20,2010,3,20,5
2010-03-21,2010,3,21,5
2010-03-22,2010,3,22,5
