Date,Year,month,day,RH_AVG_preprocessed
2005-03-26,2005,3,26,95.0
2005-03-27,2005,3,27,92.0
2005-03-28,2005,3,28,95.0
2005-03-29,2005,3,29,92.0
2005-03-30,2005,3,30,92.0
2005-03-31,2005,3,31,91.0
2005-04-01,2005,4,1,93.0
2005-04-02,2005,4,2,94.0
2005-04-03,2005,4,3,94.0
2005-04-04,2005,4,4,87.0
2005-04-05,2005,4,5,91.0
2005-04-06,2005,4,6,88.0
2005-04-07,2005,4,7,88.0
2005-04-08,2005,4,8,93.0
2005-04-09,2005,4,9,88.0
2005-04-10,2005,4,10,88.0
2005-04-11,2005,4,11,91.0
2005-04-12,2005,4,12,89.0
2005-04-13,2005,4,13,90.0
2005-04-14,2005,4,14,91.0
2005-04-15,2005,4,15,89.0
2005-04-16,2005,4,16,90.0
2005-04-17,2005,4,17,88.0
2005-04-18,2005,4,18,90.0
2005-04-19,2005,4,19,88.0
2005-04-20,2005,4,20,84.0
2005-04-21,2005,4,21,87.0
2005-04-22,2005,4,22,90.0
2005-04-23,2005,4,23,89.0
2005-04-24,2005,4,24,90.0
2005-04-25,2005,4,25,86.0
2005-04-26,2005,4,26,92.0
2005-04-27,2005,4,27,94.0
2005-04-28,2005,4,28,93.0
2005-04-29,2005,4,29,90.0
2005-04-30,2005,4,30,94.0
2005-05-01,2005,5,1,90.0
2005-05-02,2005,5,2,91.0
2005-05-03,2005,5,3,92.0
2005-05-04,2005,5,4,92.0
2005-05-05,2005,5,5,92.0
2005-05-06,2005,5,6,90.0
2005-05-07,2005,5,7,84.0
2005-05-08,2005,5,8,86.0
2005-05-09,2005,5,9,89.0
2005-05-10,2005,5,10,87.0
2005-05-11,2005,5,11,85.0
2005-05-12,2005,5,12,90.0
2005-05-13,2005,5,13,88.0
2005-05-14,2005,5,14,94.0
2005-05-15,2005,5,15,91.0
2005-05-16,2005,5,16,91.0
2005-05-17,2005,5,17,86.0
2005-05-18,2005,5,18,91.0
2005-05-19,2005,5,19,88.0
2005-05-20,2005,5,20,86.0
2005-05-21,2005,5,21,88.0
2005-05-22,2005,5,22,85.0
2005-05-23,2005,5,23,84.0
2005-05-24,2005,5,24,85.0
2005-05-25,2005,5,25,90.0
2005-05-26,2005,5,26,91.0
2005-05-27,2005,5,27,92.0
2005-05-28,2005,5,28,94.0
2005-05-29,2005,5,29,90.0
2005-05-30,2005,5,30,91.0
2005-05-31,2005,5,31,91.0
2005-06-01,2005,6,1,90.0
2005-06-02,2005,6,2,92.0
2005-06-03,2005,6,3,90.0
2005-06-04,2005,6,4,90.0
2005-06-05,2005,6,5,86.0
2005-06-06,2005,6,6,87.0
2005-06-07,2005,6,7,89.0
2005-06-08,2005,6,8,78.0
2005-06-09,2005,6,9,91.0
2005-06-10,2005,6,10,92.0
2005-06-11,2005,6,11,89.0
2005-06-12,2005,6,12,80.0
2005-06-13,2005,6,13,88.0
2005-06-14,2005,6,14,90.0
2005-06-15,2005,6,15,84.0
2005-06-16,2005,6,16,86.0
2005-06-17,2005,6,17,95.0
2005-06-18,2005,6,18,87.0
2005-06-19,2005,6,19,94.0
2005-06-20,2005,6,20,86.0
2005-06-21,2005,6,21,87.0
2005-06-22,2005,6,22,86.0
2005-06-23,2005,6,23,92.0
2005-06-24,2005,6,24,89.0
2005-06-25,2005,6,25,88.0
2005-06-26,2005,6,26,86.0
2005-06-27,2005,6,27,92.0
2005-06-28,2005,6,28,89.0
2005-06-29,2005,6,29,87.0
2005-06-30,2005,6,30,87.0
2005-07-01,2005,7,1,88.0
2005-07-02,2005,7,2,88.0
2005-07-03,2005,7,3,86.0
2005-07-04,2005,7,4,84.0
2005-07-05,2005,7,5,87.0
2005-07-06,2005,7,6,84.0
2005-07-07,2005,7,7,85.0
2005-07-08,2005,7,8,86.0
2005-07-09,2005,7,9,86.0
2005-07-10,2005,7,10,87.0
2005-07-11,2005,7,11,84.0
2005-07-12,2005,7,12,92.0
2005-07-13,2005,7,13,89.0
2005-07-14,2005,7,14,94.0
2005-07-15,2005,7,15,87.0
2005-07-16,2005,7,16,87.0
2005-07-17,2005,7,17,85.0
2005-07-18,2005,7,18,90.0
2005-07-19,2005,7,19,85.0
2005-07-20,2005,7,20,89.0
2005-07-21,2005,7,21,85.0
2005-07-22,2005,7,22,88.0
2005-07-23,2005,7,23,79.0
2005-07-24,2005,7,24,82.0
2005-07-25,2005,7,25,79.0
2005-07-26,2005,7,26,79.0
2005-07-27,2005,7,27,75.0
2005-07-28,2005,7,28,87.0
2005-07-29,2005,7,29,86.0
2005-07-30,2005,7,30,84.0
2005-07-31,2005,7,31,80.0
2005-08-01,2005,8,1,86.0
2005-08-02,2005,8,2,88.0
2005-08-03,2005,8,3,82.0
2005-08-04,2005,8,4,84.0
2005-08-05,2005,8,5,86.0
2005-08-06,2005,8,6,85.0
2005-08-07,2005,8,7,84.0
2005-08-08,2005,8,8,83.0
2005-08-09,2005,8,9,81.0
2005-08-10,2005,8,10,82.0
2005-08-11,2005,8,11,83.0
2005-08-12,2005,8,12,84.0
2005-08-13,2005,8,13,82.0
2005-08-14,2005,8,14,90.0
2005-08-15,2005,8,15,89.0
2005-08-16,2005,8,16,84.0
2005-08-17,2005,8,17,83.0
2005-08-18,2005,8,18,84.0
2005-08-19,2005,8,19,86.0
2005-08-20,2005,8,20,92.0
2005-08-21,2005,8,21,90.0
2005-08-22,2005,8,22,90.0
2005-08-23,2005,8,23,90.0
2005-08-24,2005,8,24,92.0
2005-08-25,2005,8,25,94.0
2005-08-26,2005,8,26,89.0
2005-08-27,2005,8,27,87.0
2005-08-28,2005,8,28,85.0
2005-08-29,2005,8,29,88.0
2005-08-30,2005,8,30,87.0
2005-08-31,2005,8,31,91.0
2005-09-01,2005,9,1,90.0
2005-09-02,2005,9,2,84.0
2005-09-03,2005,9,3,91.0
2005-09-04,2005,9,4,90.0
2005-09-05,2005,9,5,92.0
2005-09-06,2005,9,6,87.0
2005-09-07,2005,9,7,87.0
2005-09-08,2005,9,8,86.0
2005-09-09,2005,9,9,82.0
2005-09-10,2005,9,10,86.0
2005-09-11,2005,9,11,86.0
2005-09-12,2005,9,12,86.0
2005-09-13,2005,9,13,87.0
2005-09-14,2005,9,14,86.0
2005-09-15,2005,9,15,83.0
2005-09-16,2005,9,16,81.0
2005-09-17,2005,9,17,81.0
2005-09-18,2005,9,18,82.0
2005-09-19,2005,9,19,86.0
2005-09-20,2005,9,20,88.0
2005-09-21,2005,9,21,90.0
2005-09-22,2005,9,22,95.0
2005-09-23,2005,9,23,92.0
2005-09-24,2005,9,24,88.0
2005-09-25,2005,9,25,86.0
2005-09-26,2005,9,26,87.0
2005-09-27,2005,9,27,87.0
2005-09-28,2005,9,28,86.0
2005-09-29,2005,9,29,88.0
2005-09-30,2005,9,30,90.0
2005-10-01,2005,10,1,92.0
2005-10-02,2005,10,2,92.0
2005-10-03,2005,10,3,92.0
2005-10-04,2005,10,4,87.0
2005-10-05,2005,10,5,88.0
2005-10-06,2005,10,6,91.0
2005-10-07,2005,10,7,91.0
2005-10-08,2005,10,8,91.0
2005-10-09,2005,10,9,91.0
2005-10-10,2005,10,10,91.0
2005-10-11,2005,10,11,93.0
2005-10-12,2005,10,12,91.0
2005-10-13,2005,10,13,91.0
2005-10-14,2005,10,14,90.0
2005-10-15,2005,10,15,92.0
2005-10-16,2005,10,16,92.0
2005-10-17,2005,10,17,90.0
2005-10-18,2005,10,18,93.0
2005-10-19,2005,10,19,89.0
2005-10-20,2005,10,20,88.0
2005-10-21,2005,10,21,92.0
2005-10-22,2005,10,22,92.0
2005-10-23,2005,10,23,90.0
2005-10-24,2005,10,24,94.0
2005-10-25,2005,10,25,88.0
2005-10-26,2005,10,26,86.0
2005-10-27,2005,10,27,90.0
2005-10-28,2005,10,28,84.0
2005-10-29,2005,10,29,87.0
2005-10-30,2005,10,30,91.0
2005-10-31,2005,10,31,95.0
2005-11-01,2005,11,1,92.0
2005-11-02,2005,11,2,91.0
2005-11-03,2005,11,3,93.0
2005-11-04,2005,11,4,93.0
2005-11-05,2005,11,5,90.0
2005-11-06,2005,11,6,89.0
2005-11-07,2005,11,7,90.0
2005-11-08,2005,11,8,92.0
2005-11-09,2005,11,9,90.0
2005-11-10,2005,11,10,94.0
2005-11-11,2005,11,11,92.0
2005-11-12,2005,11,12,92.0
2005-11-13,2005,11,13,94.0
2005-11-14,2005,11,14,90.0
2005-11-15,2005,11,15,92.0
2005-11-16,2005,11,16,94.0
2005-11-17,2005,11,17,89.0
2005-11-18,2005,11,18,92.0
2005-11-19,2005,11,19,95.0
2005-11-20,2005,11,20,93.0
2005-11-21,2005,11,21,90.0
2005-11-22,2005,11,22,90.0
2005-11-23,2005,11,23,90.0
2005-11-24,2005,11,24,89.0
2005-11-25,2005,11,25,88.0
2005-11-26,2005,11,26,92.0
2005-11-27,2005,11,27,90.0
2005-11-28,2005,11,28,93.0
2005-11-29,2005,11,29,91.0
2005-11-30,2005,11,30,91.0
2005-12-01,2005,12,1,90.0
2005-12-02,2005,12,2,92.0
2005-12-03,2005,12,3,89.0
2005-12-04,2005,12,4,88.0
2005-12-05,2005,12,5,94.0
2005-12-06,2005,12,6,90.0
2005-12-07,2005,12,7,94.0
2005-12-08,2005,12,8,92.0
2005-12-09,2005,12,9,92.0
2005-12-10,2005,12,10,94.0
2005-12-11,2005,12,11,92.0
2005-12-12,2005,12,12,92.0
2005-12-13,2005,12,13,92.0
2005-12-14,2005,12,14,95.0
2005-12-15,2005,12,15,93.0
2005-12-16,2005,12,16,94.0
2005-12-17,2005,12,17,95.0
2005-12-18,2005,12,18,91.0
2005-12-19,2005,12,19,90.0
2005-12-20,2005,12,20,93.0
2005-12-21,2005,12,21,92.0
2005-12-22,2005,12,22,93.0
2005-12-23,2005,12,23,89.0
2005-12-24,2005,12,24,92.0
2005-12-25,2005,12,25,92.0
2005-12-26,2005,12,26,92.0
2005-12-27,2005,12,27,94.0
2005-12-28,2005,12,28,89.0
2005-12-29,2005,12,29,91.0
2005-12-30,2005,12,30,91.0
2005-12-31,2005,12,31,91.0
2006-01-01,2006,1,1,92.0
2006-01-02,2006,1,2,94.0
2006-01-03,2006,1,3,92.0
2006-01-04,2006,1,4,90.0
2006-01-05,2006,1,5,92.0
2006-01-06,2006,1,6,94.0
2006-01-07,2006,1,7,93.0
2006-01-08,2006,1,8,93.0
2006-01-09,2006,1,9,92.0
2006-01-10,2006,1,10,95.0
2006-01-11,2006,1,11,90.0
2006-01-12,2006,1,12,91.0
2006-01-13,2006,1,13,90.0
2006-01-14,2006,1,14,90.0
2006-01-15,2006,1,15,92.0
2006-01-16,2006,1,16,92.0
2006-01-17,2006,1,17,92.0
2006-01-18,2006,1,18,91.0
2006-01-19,2006,1,19,93.0
2006-01-20,2006,1,20,89.0
2006-01-21,2006,1,21,91.0
2006-01-22,2006,1,22,90.0
2006-01-23,2006,1,23,94.0
2006-01-24,2006,1,24,89.0
2006-01-25,2006,1,25,94.0
2006-01-26,2006,1,26,91.0
2006-01-27,2006,1,27,90.0
2006-01-28,2006,1,28,87.0
2006-01-29,2006,1,29,85.0
2006-01-30,2006,1,30,90.0
2006-01-31,2006,1,31,89.0
2006-02-01,2006,2,1,88.0
2006-02-02,2006,2,2,88.0
2006-02-03,2006,2,3,90.0
2006-02-04,2006,2,4,89.0
2006-02-05,2006,2,5,89.0
2006-02-06,2006,2,6,88.0
2006-02-07,2006,2,7,91.0
2006-02-08,2006,2,8,92.0
2006-02-09,2006,2,9,88.0
2006-02-10,2006,2,10,89.0
2006-02-11,2006,2,11,86.0
2006-02-12,2006,2,12,91.0
2006-02-13,2006,2,13,94.0
2006-02-14,2006,2,14,90.0
2006-02-15,2006,2,15,90.0
2006-02-16,2006,2,16,93.0
2006-02-17,2006,2,17,92.0
2006-02-18,2006,2,18,90.0
2006-02-19,2006,2,19,85.0
2006-02-20,2006,2,20,89.0
2006-02-21,2006,2,21,90.0
2006-02-22,2006,2,22,87.0
2006-02-23,2006,2,23,86.0
2006-02-24,2006,2,24,88.0
2006-02-25,2006,2,25,92.0
2006-02-26,2006,2,26,89.0
2006-02-27,2006,2,27,93.0
2006-02-28,2006,2,28,90.0
2006-03-01,2006,3,1,88.0
2006-03-02,2006,3,2,91.0
2006-03-03,2006,3,3,95.0
2006-03-04,2006,3,4,90.0
2006-03-05,2006,3,5,92.0
2006-03-06,2006,3,6,91.0
2006-03-07,2006,3,7,90.0
2006-03-08,2006,3,8,91.0
2006-03-09,2006,3,9,88.0
2006-03-10,2006,3,10,89.0
2006-03-11,2006,3,11,88.0
2006-03-12,2006,3,12,91.0
2006-03-13,2006,3,13,87.0
2006-03-14,2006,3,14,87.0
2006-03-15,2006,3,15,89.0
2006-03-16,2006,3,16,89.0
2006-03-17,2006,3,17,88.0
2006-03-18,2006,3,18,91.0
2006-03-19,2006,3,19,91.0
2006-03-20,2006,3,20,93.0
2006-03-21,2006,3,21,94.0
2006-03-22,2006,3,22,94.0
2006-03-23,2006,3,23,94.0
2006-03-24,2006,3,24,91.0
2006-03-25,2006,3,25,94.0
2006-03-26,2006,3,26,92.0
2006-03-27,2006,3,27,79.0
2006-03-28,2006,3,28,88.0
2006-03-29,2006,3,29,90.0
2006-03-30,2006,3,30,91.0
2006-03-31,2006,3,31,92.0
2006-04-01,2006,4,1,89.0
2006-04-02,2006,4,2,90.0
2006-04-03,2006,4,3,90.0
2006-04-04,2006,4,4,91.0
2006-04-05,2006,4,5,90.0
2006-04-06,2006,4,6,90.0
2006-04-07,2006,4,7,93.0
2006-04-08,2006,4,8,94.0
2006-04-09,2006,4,9,89.0
2006-04-10,2006,4,10,94.0
2006-04-11,2006,4,11,91.0
2006-04-12,2006,4,12,92.0
2006-04-13,2006,4,13,93.0
2006-04-14,2006,4,14,95.0
2006-04-15,2006,4,15,91.0
2006-04-16,2006,4,16,93.0
2006-04-17,2006,4,17,93.0
2006-04-18,2006,4,18,94.0
2006-04-19,2006,4,19,94.0
2006-04-20,2006,4,20,91.0
2006-04-21,2006,4,21,93.0
2006-04-22,2006,4,22,90.0
2006-04-23,2006,4,23,88.0
2006-04-24,2006,4,24,84.0
2006-04-25,2006,4,25,91.0
2006-04-26,2006,4,26,91.0
2006-04-27,2006,4,27,86.0
2006-04-28,2006,4,28,84.0
2006-04-29,2006,4,29,89.0
2006-04-30,2006,4,30,88.0
2006-05-01,2006,5,1,91.0
2006-05-02,2006,5,2,88.0
2006-05-03,2006,5,3,89.0
2006-05-04,2006,5,4,89.0
2006-05-05,2006,5,5,87.0
2006-05-06,2006,5,6,88.0
2006-05-07,2006,5,7,87.0
2006-05-08,2006,5,8,88.0
2006-05-09,2006,5,9,87.0
2006-05-10,2006,5,10,88.0
2006-05-11,2006,5,11,90.0
2006-05-12,2006,5,12,87.0
2006-05-13,2006,5,13,87.0
2006-05-14,2006,5,14,86.0
2006-05-15,2006,5,15,85.0
2006-05-16,2006,5,16,86.0
2006-05-17,2006,5,17,87.0
2006-05-18,2006,5,18,88.0
2006-05-19,2006,5,19,90.0
2006-05-20,2006,5,20,83.0
2006-05-21,2006,5,21,80.0
2006-05-22,2006,5,22,90.0
2006-05-23,2006,5,23,88.0
2006-05-24,2006,5,24,85.0
2006-05-25,2006,5,25,84.0
2006-05-26,2006,5,26,86.0
2006-05-27,2006,5,27,84.0
2006-05-28,2006,5,28,84.0
2006-05-29,2006,5,29,85.0
2006-05-30,2006,5,30,86.0
2006-05-31,2006,5,31,89.0
2006-06-01,2006,6,1,91.0
2006-06-02,2006,6,2,88.0
2006-06-03,2006,6,3,88.0
2006-06-04,2006,6,4,88.0
2006-06-05,2006,6,5,88.0
2006-06-06,2006,6,6,85.0
2006-06-07,2006,6,7,87.0
2006-06-08,2006,6,8,89.0
2006-06-09,2006,6,9,88.0
2006-06-10,2006,6,10,90.0
2006-06-11,2006,6,11,84.0
2006-06-12,2006,6,12,85.0
2006-06-13,2006,6,13,89.0
2006-06-14,2006,6,14,88.0
2006-06-15,2006,6,15,87.0
2006-06-16,2006,6,16,87.0
2006-06-17,2006,6,17,87.0
2006-06-18,2006,6,18,95.0
2006-06-19,2006,6,19,87.0
2006-06-20,2006,6,20,88.0
2006-06-21,2006,6,21,92.0
2006-06-22,2006,6,22,87.0
2006-06-23,2006,6,23,85.0
2006-06-24,2006,6,24,88.0
2006-06-25,2006,6,25,90.0
2006-06-26,2006,6,26,86.0
2006-06-27,2006,6,27,86.0
2006-06-28,2006,6,28,78.0
2006-06-29,2006,6,29,66.0
2006-06-30,2006,6,30,82.0
2006-07-01,2006,7,1,74.0
2006-07-02,2006,7,2,74.0
2006-07-03,2006,7,3,77.0
2006-07-04,2006,7,4,79.0
2006-07-05,2006,7,5,83.0
2006-07-06,2006,7,6,82.0
2006-07-07,2006,7,7,82.0
2006-07-08,2006,7,8,80.0
2006-07-09,2006,7,9,85.0
2006-07-10,2006,7,10,80.0
2006-07-11,2006,7,11,82.0
2006-07-12,2006,7,12,90.0
2006-07-13,2006,7,13,94.0
2006-07-14,2006,7,14,75.0
2006-07-15,2006,7,15,78.0
2006-07-16,2006,7,16,81.0
2006-07-17,2006,7,17,85.0
2006-07-18,2006,7,18,86.0
2006-07-19,2006,7,19,80.0
2006-07-20,2006,7,20,81.0
2006-07-21,2006,7,21,80.0
2006-07-22,2006,7,22,81.0
2006-07-23,2006,7,23,78.0
2006-07-24,2006,7,24,78.0
2006-07-25,2006,7,25,80.0
2006-07-26,2006,7,26,79.0
2006-07-27,2006,7,27,82.0
2006-07-28,2006,7,28,76.0
2006-07-29,2006,7,29,78.0
2006-07-30,2006,7,30,86.0
2006-07-31,2006,7,31,80.0
2006-08-01,2006,8,1,82.0
2006-08-02,2006,8,2,79.0
2006-08-03,2006,8,3,77.0
2006-08-04,2006,8,4,86.0
2006-08-05,2006,8,5,86.0
2006-08-06,2006,8,6,82.0
2006-08-07,2006,8,7,79.0
2006-08-08,2006,8,8,76.0
2006-08-09,2006,8,9,78.0
2006-08-10,2006,8,10,75.0
2006-08-11,2006,8,11,76.0
2006-08-12,2006,8,12,76.0
2006-08-13,2006,8,13,81.0
2006-08-14,2006,8,14,78.0
2006-08-15,2006,8,15,69.0
2006-08-16,2006,8,16,71.0
2006-08-17,2006,8,17,82.0
2006-08-18,2006,8,18,93.0
2006-08-19,2006,8,19,80.0
2006-08-20,2006,8,20,81.0
2006-08-21,2006,8,21,82.0
2006-08-22,2006,8,22,80.0
2006-08-23,2006,8,23,87.0
2006-08-24,2006,8,24,82.0
2006-08-25,2006,8,25,81.0
2006-08-26,2006,8,26,86.0
2006-08-27,2006,8,27,83.0
2006-08-28,2006,8,28,81.0
2006-08-29,2006,8,29,87.0
2006-08-30,2006,8,30,84.0
2006-08-31,2006,8,31,77.0
2006-09-01,2006,9,1,81.0
2006-09-02,2006,9,2,87.0
2006-09-03,2006,9,3,82.0
2006-09-04,2006,9,4,84.0
2006-09-05,2006,9,5,86.0
2006-09-06,2006,9,6,84.0
2006-09-07,2006,9,7,84.0
2006-09-08,2006,9,8,91.0
2006-09-09,2006,9,9,85.0
2006-09-10,2006,9,10,80.0
2006-09-11,2006,9,11,88.0
2006-09-12,2006,9,12,88.0
2006-09-13,2006,9,13,92.0
2006-09-14,2006,9,14,82.0
2006-09-15,2006,9,15,82.0
2006-09-16,2006,9,16,84.0
2006-09-17,2006,9,17,85.0
2006-09-18,2006,9,18,88.0
2006-09-19,2006,9,19,87.0
2006-09-20,2006,9,20,88.0
2006-09-21,2006,9,21,90.0
2006-09-22,2006,9,22,83.0
2006-09-23,2006,9,23,84.0
2006-09-24,2006,9,24,83.0
2006-09-25,2006,9,25,83.0
2006-09-26,2006,9,26,80.0
2006-09-27,2006,9,27,86.0
2006-09-28,2006,9,28,84.0
2006-09-29,2006,9,29,89.0
2006-09-30,2006,9,30,93.0
2006-10-01,2006,10,1,83.0
2006-10-02,2006,10,2,91.0
2006-10-03,2006,10,3,74.0
2006-10-04,2006,10,4,84.0
2006-10-05,2006,10,5,91.0
2006-10-06,2006,10,6,89.0
2006-10-07,2006,10,7,86.0
2006-10-08,2006,10,8,82.0
2006-10-09,2006,10,9,83.0
2006-10-10,2006,10,10,83.0
2006-10-11,2006,10,11,84.0
2006-10-12,2006,10,12,88.0
2006-10-13,2006,10,13,91.0
2006-10-14,2006,10,14,90.0
2006-10-15,2006,10,15,92.0
2006-10-16,2006,10,16,94.0
2006-10-17,2006,10,17,91.0
2006-10-18,2006,10,18,89.0
2006-10-19,2006,10,19,93.0
2006-10-20,2006,10,20,95.0
2006-10-21,2006,10,21,90.0
2006-10-22,2006,10,22,92.0
2006-10-23,2006,10,23,89.0
2006-10-24,2006,10,24,92.0
2006-10-25,2006,10,25,95.0
2006-10-26,2006,10,26,88.0
2006-10-27,2006,10,27,88.0
2006-10-28,2006,10,28,90.0
2006-10-29,2006,10,29,88.0
2006-10-30,2006,10,30,87.0
2006-10-31,2006,10,31,91.0
2006-11-01,2006,11,1,89.0
2006-11-02,2006,11,2,90.0
2006-11-03,2006,11,3,89.0
2006-11-04,2006,11,4,94.0
2006-11-05,2006,11,5,92.0
2006-11-06,2006,11,6,92.0
2006-11-07,2006,11,7,92.0
2006-11-08,2006,11,8,94.0
2006-11-09,2006,11,9,86.0
2006-11-10,2006,11,10,93.0
2006-11-11,2006,11,11,95.0
2006-11-12,2006,11,12,92.0
2006-11-13,2006,11,13,90.0
2006-11-14,2006,11,14,92.0
2006-11-15,2006,11,15,89.0
2006-11-16,2006,11,16,88.0
2006-11-17,2006,11,17,86.0
2006-11-18,2006,11,18,91.0
2006-11-19,2006,11,19,91.0
2006-11-20,2006,11,20,93.0
2006-11-21,2006,11,21,89.0
2006-11-22,2006,11,22,90.0
2006-11-23,2006,11,23,88.0
2006-11-24,2006,11,24,88.0
2006-11-25,2006,11,25,92.0
2006-11-26,2006,11,26,88.0
2006-11-27,2006,11,27,89.0
2006-11-28,2006,11,28,89.0
2006-11-29,2006,11,29,87.0
2006-11-30,2006,11,30,88.0
2006-12-01,2006,12,1,89.0
2006-12-02,2006,12,2,86.0
2006-12-03,2006,12,3,90.0
2006-12-04,2006,12,4,86.0
2006-12-05,2006,12,5,86.0
2006-12-06,2006,12,6,89.0
2006-12-07,2006,12,7,88.0
2006-12-08,2006,12,8,87.0
2006-12-09,2006,12,9,87.0
2006-12-10,2006,12,10,88.0
2006-12-11,2006,12,11,90.0
2006-12-12,2006,12,12,92.0
2006-12-13,2006,12,13,89.0
2006-12-14,2006,12,14,91.0
2006-12-15,2006,12,15,89.0
2006-12-16,2006,12,16,91.0
2006-12-17,2006,12,17,90.0
2006-12-18,2006,12,18,88.0
2006-12-19,2006,12,19,88.0
2006-12-20,2006,12,20,88.0
2006-12-21,2006,12,21,92.0
2006-12-22,2006,12,22,90.0
2006-12-23,2006,12,23,89.0
2006-12-24,2006,12,24,94.0
2006-12-25,2006,12,25,90.0
2006-12-26,2006,12,26,89.0
2006-12-27,2006,12,27,94.0
2006-12-28,2006,12,28,92.0
2006-12-29,2006,12,29,89.0
2006-12-30,2006,12,30,87.0
2006-12-31,2006,12,31,86.0
2007-01-01,2007,1,1,93.0
2007-01-02,2007,1,2,89.0
2007-01-03,2007,1,3,88.0
2007-01-04,2007,1,4,90.0
2007-01-05,2007,1,5,91.0
2007-01-06,2007,1,6,94.0
2007-01-07,2007,1,7,90.0
2007-01-08,2007,1,8,90.0
2007-01-09,2007,1,9,92.0
2007-01-10,2007,1,10,92.0
2007-01-11,2007,1,11,89.0
2007-01-12,2007,1,12,88.0
2007-01-13,2007,1,13,89.0
2007-01-14,2007,1,14,86.0
2007-01-15,2007,1,15,88.0
2007-01-16,2007,1,16,86.0
2007-01-17,2007,1,17,90.0
2007-01-18,2007,1,18,87.0
2007-01-19,2007,1,19,88.0
2007-01-20,2007,1,20,90.0
2007-01-21,2007,1,21,89.0
2007-01-22,2007,1,22,93.0
2007-01-23,2007,1,23,91.0
2007-01-24,2007,1,24,90.0
2007-01-25,2007,1,25,90.0
2007-01-26,2007,1,26,89.0
2007-01-27,2007,1,27,87.0
2007-01-28,2007,1,28,86.0
2007-01-29,2007,1,29,87.0
2007-01-30,2007,1,30,90.0
2007-01-31,2007,1,31,89.0
2007-02-01,2007,2,1,86.0
2007-02-02,2007,2,2,88.0
2007-02-03,2007,2,3,89.0
2007-02-04,2007,2,4,88.0
2007-02-05,2007,2,5,84.0
2007-02-06,2007,2,6,87.0
2007-02-07,2007,2,7,84.0
2007-02-08,2007,2,8,87.0
2007-02-09,2007,2,9,86.0
2007-02-10,2007,2,10,83.0
2007-02-11,2007,2,11,83.0
2007-02-12,2007,2,12,85.0
2007-02-13,2007,2,13,86.0
2007-02-14,2007,2,14,85.0
