Date,Location,SST,RAD,DayOfYear,Year,Month,Quarter,Season
2005-04-11,4N90E,29.31,250.13,101,2005,4,2,MAM
2005-04-12,4N90E,29.31,250.13,102,2005,4,2,MAM
2005-04-13,4N90E,29.31,250.13,103,2005,4,2,MAM
2005-04-14,4N90E,29.31,250.13,104,2005,4,2,MAM
2005-04-15,4N90E,29.31,250.13,105,2005,4,2,MAM
2005-04-16,4N90E,29.31,250.13,106,2005,4,2,MAM
2005-04-17,4N90E,29.31,250.13,107,2005,4,2,MAM
2005-04-18,4N90E,29.31,250.13,108,2005,4,2,MAM
2005-04-19,4N90E,29.31,250.13,109,2005,4,2,MAM
2005-04-20,4N90E,29.31,250.13,110,2005,4,2,MAM
2005-04-21,4N90E,29.31,250.13,111,2005,4,2,MAM
2005-04-22,4N90E,29.31,250.13,112,2005,4,2,MAM
2005-04-23,4N90E,29.31,250.13,113,2005,4,2,MAM
2005-04-24,4N90E,29.31,250.13,114,2005,4,2,MAM
2005-04-25,4N90E,29.31,250.13,115,2005,4,2,MAM
2005-04-26,4N90E,29.31,250.13,116,2005,4,2,MAM
2005-04-27,4N90E,29.31,250.13,117,2005,4,2,MAM
2005-04-28,4N90E,29.31,250.13,118,2005,4,2,MAM
2005-04-29,4N90E,29.31,250.13,119,2005,4,2,MAM
2005-04-30,4N90E,29.31,250.13,120,2005,4,2,MAM
2005-05-01,4N90E,29.31,250.13,121,2005,5,2,MAM
2005-05-02,4N90E,29.31,250.13,122,2005,5,2,MAM
2005-05-03,4N90E,29.31,250.13,123,2005,5,2,MAM
2005-05-04,4N90E,29.31,250.13,124,2005,5,2,MAM
2005-05-05,4N90E,29.31,250.13,125,2005,5,2,MAM
2005-05-06,4N90E,29.31,250.13,126,2005,5,2,MAM
2005-05-07,4N90E,29.31,250.13,127,2005,5,2,MAM
2005-05-08,4N90E,29.31,250.13,128,2005,5,2,MAM
2005-05-09,4N90E,29.31,250.13,129,2005,5,2,MAM
2005-05-10,4N90E,29.31,250.13,130,2005,5,2,MAM
2005-05-11,4N90E,29.31,250.13,131,2005,5,2,MAM
2005-05-12,4N90E,29.31,250.13,132,2005,5,2,MAM
2005-05-13,4N90E,29.31,250.13,133,2005,5,2,MAM
2005-05-14,4N90E,29.31,250.13,134,2005,5,2,MAM
2005-05-15,4N90E,29.31,250.13,135,2005,5,2,MAM
2005-05-16,4N90E,29.31,250.13,136,2005,5,2,MAM
2005-05-17,4N90E,29.31,250.13,137,2005,5,2,MAM
2005-05-18,4N90E,29.31,250.13,138,2005,5,2,MAM
2005-05-19,4N90E,29.31,250.13,139,2005,5,2,MAM
2005-05-20,4N90E,29.31,250.13,140,2005,5,2,MAM
2005-05-21,4N90E,29.31,250.13,141,2005,5,2,MAM
2005-05-22,4N90E,29.31,250.13,142,2005,5,2,MAM
2005-05-23,4N90E,29.31,250.13,143,2005,5,2,MAM
2005-05-24,4N90E,29.31,250.13,144,2005,5,2,MAM
2005-05-25,4N90E,29.31,250.13,145,2005,5,2,MAM
2005-05-26,4N90E,29.31,250.13,146,2005,5,2,MAM
2005-05-27,4N90E,29.31,250.13,147,2005,5,2,MAM
2005-05-28,4N90E,29.31,250.13,148,2005,5,2,MAM
2005-05-29,4N90E,29.31,250.13,149,2005,5,2,MAM
2005-05-30,4N90E,29.31,250.13,150,2005,5,2,MAM
2005-05-31,4N90E,29.31,250.13,151,2005,5,2,MAM
2005-06-01,4N90E,29.31,250.13,152,2005,6,2,JJA
2005-06-02,4N90E,29.31,250.13,153,2005,6,2,JJA
2005-06-03,4N90E,29.31,250.13,154,2005,6,2,JJA
2005-06-04,4N90E,29.31,250.13,155,2005,6,2,JJA
2005-06-05,4N90E,29.31,250.13,156,2005,6,2,JJA
2005-06-06,4N90E,29.31,250.13,157,2005,6,2,JJA
2005-06-07,4N90E,29.31,250.13,158,2005,6,2,JJA
2005-06-08,4N90E,29.31,250.13,159,2005,6,2,JJA
2005-06-09,4N90E,29.31,250.13,160,2005,6,2,JJA
2005-06-10,4N90E,29.31,250.13,161,2005,6,2,JJA
2005-06-11,4N90E,29.31,250.13,162,2005,6,2,JJA
2005-06-12,4N90E,29.31,250.13,163,2005,6,2,JJA
2005-06-13,4N90E,29.31,250.13,164,2005,6,2,JJA
2005-06-14,4N90E,29.31,250.13,165,2005,6,2,JJA
2005-06-15,4N90E,29.31,250.13,166,2005,6,2,JJA
2005-06-16,4N90E,29.31,250.13,167,2005,6,2,JJA
2005-06-17,4N90E,29.31,250.13,168,2005,6,2,JJA
2005-06-18,4N90E,29.31,250.13,169,2005,6,2,JJA
2005-06-19,4N90E,29.31,250.13,170,2005,6,2,JJA
2005-06-20,4N90E,29.31,250.13,171,2005,6,2,JJA
2005-06-21,4N90E,29.31,250.13,172,2005,6,2,JJA
2005-06-22,4N90E,29.31,250.13,173,2005,6,2,JJA
2005-06-23,4N90E,29.31,250.13,174,2005,6,2,JJA
2005-06-24,4N90E,29.31,250.13,175,2005,6,2,JJA
2005-06-25,4N90E,29.31,250.13,176,2005,6,2,JJA
2005-06-26,4N90E,29.31,250.13,177,2005,6,2,JJA
2005-06-27,4N90E,29.31,250.13,178,2005,6,2,JJA
2005-06-28,4N90E,29.31,250.13,179,2005,6,2,JJA
2005-06-29,4N90E,29.31,250.13,180,2005,6,2,JJA
2005-06-30,4N90E,29.31,250.13,181,2005,6,2,JJA
2005-07-01,4N90E,29.31,250.13,182,2005,7,3,JJA
2005-07-02,4N90E,29.31,250.13,183,2005,7,3,JJA
2005-07-03,4N90E,29.31,250.13,184,2005,7,3,JJA
2005-07-04,4N90E,29.31,250.13,185,2005,7,3,JJA
2005-07-05,4N90E,29.31,250.13,186,2005,7,3,JJA
2005-07-06,4N90E,29.31,250.13,187,2005,7,3,JJA
2005-07-07,4N90E,29.31,250.13,188,2005,7,3,JJA
2005-07-08,4N90E,29.31,250.13,189,2005,7,3,JJA
2005-07-09,4N90E,29.31,250.13,190,2005,7,3,JJA
2005-07-10,4N90E,29.31,250.13,191,2005,7,3,JJA
2005-07-11,4N90E,29.31,250.13,192,2005,7,3,JJA
2005-07-12,4N90E,29.31,250.13,193,2005,7,3,JJA
2005-07-13,4N90E,29.31,250.13,194,2005,7,3,JJA
2005-07-14,4N90E,29.31,250.13,195,2005,7,3,JJA
2005-07-15,4N90E,29.31,250.13,196,2005,7,3,JJA
2005-07-16,4N90E,29.31,250.13,197,2005,7,3,JJA
2005-07-17,4N90E,29.31,250.13,198,2005,7,3,JJA
2005-07-18,4N90E,29.31,250.13,199,2005,7,3,JJA
2005-07-19,4N90E,29.31,250.13,200,2005,7,3,JJA
2005-07-20,4N90E,29.31,250.13,201,2005,7,3,JJA
2005-07-21,4N90E,29.31,250.13,202,2005,7,3,JJA
2005-07-22,4N90E,29.31,250.13,203,2005,7,3,JJA
2005-07-23,4N90E,29.31,250.13,204,2005,7,3,JJA
2005-07-24,4N90E,29.31,250.13,205,2005,7,3,JJA
2005-07-25,4N90E,29.31,250.13,206,2005,7,3,JJA
2005-07-26,4N90E,29.31,250.13,207,2005,7,3,JJA
2005-07-27,4N90E,29.31,250.13,208,2005,7,3,JJA
2005-07-28,4N90E,29.31,250.13,209,2005,7,3,JJA
2005-07-29,4N90E,29.31,250.13,210,2005,7,3,JJA
2005-07-30,4N90E,29.31,250.13,211,2005,7,3,JJA
2005-07-31,4N90E,29.31,250.13,212,2005,7,3,JJA
2005-08-01,4N90E,29.31,250.13,213,2005,8,3,JJA
2005-08-02,4N90E,29.31,250.13,214,2005,8,3,JJA
2005-08-03,4N90E,29.31,250.13,215,2005,8,3,JJA
2005-08-04,4N90E,29.31,250.13,216,2005,8,3,JJA
2005-08-05,4N90E,29.31,250.13,217,2005,8,3,JJA
2005-08-06,4N90E,29.31,250.13,218,2005,8,3,JJA
2005-08-07,4N90E,29.31,250.13,219,2005,8,3,JJA
2005-08-08,4N90E,29.31,250.13,220,2005,8,3,JJA
2005-08-09,4N90E,29.31,250.13,221,2005,8,3,JJA
2005-08-10,4N90E,29.31,250.13,222,2005,8,3,JJA
2005-08-11,4N90E,29.31,250.13,223,2005,8,3,JJA
2005-08-12,4N90E,29.31,250.13,224,2005,8,3,JJA
2005-08-13,4N90E,29.31,250.13,225,2005,8,3,JJA
2005-08-14,4N90E,29.31,250.13,226,2005,8,3,JJA
2005-08-15,4N90E,29.31,250.13,227,2005,8,3,JJA
2005-08-16,4N90E,29.31,250.13,228,2005,8,3,JJA
2005-08-17,4N90E,29.31,250.13,229,2005,8,3,JJA
2005-08-18,4N90E,29.31,250.13,230,2005,8,3,JJA
2005-08-19,4N90E,29.31,250.13,231,2005,8,3,JJA
2005-08-20,4N90E,29.31,250.13,232,2005,8,3,JJA
2005-08-21,4N90E,29.31,250.13,233,2005,8,3,JJA
2005-08-22,4N90E,29.31,250.13,234,2005,8,3,JJA
2005-08-23,4N90E,29.31,250.13,235,2005,8,3,JJA
2005-08-24,4N90E,29.31,250.13,236,2005,8,3,JJA
2005-08-25,4N90E,29.31,250.13,237,2005,8,3,JJA
2005-08-26,4N90E,29.31,250.13,238,2005,8,3,JJA
2005-08-27,4N90E,29.31,250.13,239,2005,8,3,JJA
2005-08-28,4N90E,29.31,250.13,240,2005,8,3,JJA
2005-08-29,4N90E,29.31,250.13,241,2005,8,3,JJA
2005-08-30,4N90E,29.31,250.13,242,2005,8,3,JJA
2005-08-31,4N90E,29.31,250.13,243,2005,8,3,JJA
2005-09-01,4N90E,29.31,250.13,244,2005,9,3,SON
2005-09-02,4N90E,29.31,250.13,245,2005,9,3,SON
2005-09-03,4N90E,29.31,250.13,246,2005,9,3,SON
2005-09-04,4N90E,29.31,250.13,247,2005,9,3,SON
2005-09-05,4N90E,29.31,250.13,248,2005,9,3,SON
2005-09-06,4N90E,29.31,250.13,249,2005,9,3,SON
2005-09-07,4N90E,29.31,250.13,250,2005,9,3,SON
2005-09-08,4N90E,29.31,250.13,251,2005,9,3,SON
2005-09-09,4N90E,29.31,250.13,252,2005,9,3,SON
2005-09-10,4N90E,29.31,250.13,253,2005,9,3,SON
2005-09-11,4N90E,29.31,250.13,254,2005,9,3,SON
2005-09-12,4N90E,29.31,250.13,255,2005,9,3,SON
2005-09-13,4N90E,29.31,250.13,256,2005,9,3,SON
2005-09-14,4N90E,29.31,250.13,257,2005,9,3,SON
2005-09-15,4N90E,29.31,250.13,258,2005,9,3,SON
2005-09-16,4N90E,29.31,250.13,259,2005,9,3,SON
2005-09-17,4N90E,29.31,250.13,260,2005,9,3,SON
2005-09-18,4N90E,29.31,250.13,261,2005,9,3,SON
2005-09-19,4N90E,29.31,250.13,262,2005,9,3,SON
2005-09-20,4N90E,29.31,250.13,263,2005,9,3,SON
2005-09-21,4N90E,29.31,250.13,264,2005,9,3,SON
2005-09-22,4N90E,29.31,250.13,265,2005,9,3,SON
2005-09-23,4N90E,29.31,250.13,266,2005,9,3,SON
2005-09-24,4N90E,29.31,250.13,267,2005,9,3,SON
2005-09-25,4N90E,29.31,250.13,268,2005,9,3,SON
2005-09-26,4N90E,29.31,250.13,269,2005,9,3,SON
2005-09-27,4N90E,29.31,250.13,270,2005,9,3,SON
2005-09-28,4N90E,29.31,250.13,271,2005,9,3,SON
2005-09-29,4N90E,29.31,250.13,272,2005,9,3,SON
2005-09-30,4N90E,29.31,250.13,273,2005,9,3,SON
2005-10-01,4N90E,29.31,250.13,274,2005,10,4,SON
2005-10-02,4N90E,29.31,250.13,275,2005,10,4,SON
2005-10-03,4N90E,29.31,250.13,276,2005,10,4,SON
2005-10-04,4N90E,29.31,250.13,277,2005,10,4,SON
2005-10-05,4N90E,29.31,250.13,278,2005,10,4,SON
2005-10-06,4N90E,29.31,250.13,279,2005,10,4,SON
2005-10-07,4N90E,29.31,250.13,280,2005,10,4,SON
2005-10-08,4N90E,29.31,250.13,281,2005,10,4,SON
2005-10-09,4N90E,29.31,250.13,282,2005,10,4,SON
2005-10-10,4N90E,29.31,250.13,283,2005,10,4,SON
2005-10-11,4N90E,29.31,250.13,284,2005,10,4,SON
2005-10-12,4N90E,29.31,250.13,285,2005,10,4,SON
2005-10-13,4N90E,29.31,250.13,286,2005,10,4,SON
2005-10-14,4N90E,29.31,250.13,287,2005,10,4,SON
2005-10-15,4N90E,29.31,250.13,288,2005,10,4,SON
2005-10-16,4N90E,29.31,250.13,289,2005,10,4,SON
2005-10-17,4N90E,29.31,250.13,290,2005,10,4,SON
2005-10-18,4N90E,29.31,250.13,291,2005,10,4,SON
2005-10-19,4N90E,29.31,250.13,292,2005,10,4,SON
2005-10-20,4N90E,29.31,250.13,293,2005,10,4,SON
2005-10-21,4N90E,29.31,250.13,294,2005,10,4,SON
2005-10-22,4N90E,29.31,250.13,295,2005,10,4,SON
2005-10-23,4N90E,29.31,250.13,296,2005,10,4,SON
2005-10-24,4N90E,29.31,250.13,297,2005,10,4,SON
2005-10-25,4N90E,29.31,250.13,298,2005,10,4,SON
2005-10-26,4N90E,29.31,250.13,299,2005,10,4,SON
2005-10-27,4N90E,29.31,250.13,300,2005,10,4,SON
2005-10-28,4N90E,29.31,250.13,301,2005,10,4,SON
2005-10-29,4N90E,29.31,250.13,302,2005,10,4,SON
2005-10-30,4N90E,29.31,250.13,303,2005,10,4,SON
2005-10-31,4N90E,29.31,250.13,304,2005,10,4,SON
2005-11-01,4N90E,29.31,250.13,305,2005,11,4,SON
2005-11-02,4N90E,29.31,250.13,306,2005,11,4,SON
2005-11-03,4N90E,29.31,250.13,307,2005,11,4,SON
2005-11-04,4N90E,29.31,250.13,308,2005,11,4,SON
2005-11-05,4N90E,29.31,250.13,309,2005,11,4,SON
2005-11-06,4N90E,29.31,250.13,310,2005,11,4,SON
2005-11-07,4N90E,29.31,250.13,311,2005,11,4,SON
2005-11-08,4N90E,29.31,250.13,312,2005,11,4,SON
2005-11-09,4N90E,29.31,250.13,313,2005,11,4,SON
2005-11-10,4N90E,29.31,250.13,314,2005,11,4,SON
2005-11-11,4N90E,29.31,250.13,315,2005,11,4,SON
2005-11-12,4N90E,29.31,250.13,316,2005,11,4,SON
2005-11-13,4N90E,29.31,250.13,317,2005,11,4,SON
2005-11-14,4N90E,29.31,250.13,318,2005,11,4,SON
2005-11-15,4N90E,29.31,250.13,319,2005,11,4,SON
2005-11-16,4N90E,29.31,250.13,320,2005,11,4,SON
2005-11-17,4N90E,29.31,250.13,321,2005,11,4,SON
2005-11-18,4N90E,29.31,250.13,322,2005,11,4,SON
2005-11-19,4N90E,29.31,250.13,323,2005,11,4,SON
2005-11-20,4N90E,29.31,250.13,324,2005,11,4,SON
2005-11-21,4N90E,29.31,250.13,325,2005,11,4,SON
2005-11-22,4N90E,29.31,250.13,326,2005,11,4,SON
2005-11-23,4N90E,29.31,250.13,327,2005,11,4,SON
2005-11-24,4N90E,29.31,250.13,328,2005,11,4,SON
2005-11-25,4N90E,29.31,250.13,329,2005,11,4,SON
2005-11-26,4N90E,29.31,250.13,330,2005,11,4,SON
2005-11-27,4N90E,29.31,250.13,331,2005,11,4,SON
2005-11-28,4N90E,29.31,250.13,332,2005,11,4,SON
2005-11-29,4N90E,29.31,250.13,333,2005,11,4,SON
2005-11-30,4N90E,29.31,250.13,334,2005,11,4,SON
2005-12-01,4N90E,29.31,250.13,335,2005,12,4,DJF
2005-12-02,4N90E,29.31,250.13,336,2005,12,4,DJF
2005-12-03,4N90E,29.31,250.13,337,2005,12,4,DJF
2005-12-04,4N90E,29.31,250.13,338,2005,12,4,DJF
2005-12-05,4N90E,29.31,250.13,339,2005,12,4,DJF
2005-12-06,4N90E,29.31,250.13,340,2005,12,4,DJF
2005-12-07,4N90E,29.31,250.13,341,2005,12,4,DJF
2005-12-08,4N90E,29.31,250.13,342,2005,12,4,DJF
2005-12-09,4N90E,29.31,250.13,343,2005,12,4,DJF
2005-12-10,4N90E,29.31,250.13,344,2005,12,4,DJF
2005-12-11,4N90E,29.31,250.13,345,2005,12,4,DJF
2005-12-12,4N90E,29.31,250.13,346,2005,12,4,DJF
2005-12-13,4N90E,29.31,250.13,347,2005,12,4,DJF
2005-12-14,4N90E,29.31,250.13,348,2005,12,4,DJF
2005-12-15,4N90E,29.31,250.13,349,2005,12,4,DJF
2005-12-16,4N90E,29.31,250.13,350,2005,12,4,DJF
2005-12-17,4N90E,29.31,250.13,351,2005,12,4,DJF
2005-12-18,4N90E,29.31,250.13,352,2005,12,4,DJF
2005-12-19,4N90E,29.31,250.13,353,2005,12,4,DJF
2005-12-20,4N90E,29.31,250.13,354,2005,12,4,DJF
2005-12-21,4N90E,29.31,250.13,355,2005,12,4,DJF
2005-12-22,4N90E,29.31,250.13,356,2005,12,4,DJF
2005-12-23,4N90E,29.31,250.13,357,2005,12,4,DJF
2005-12-24,4N90E,29.31,250.13,358,2005,12,4,DJF
2005-12-25,4N90E,29.31,250.13,359,2005,12,4,DJF
2005-12-26,4N90E,29.31,250.13,360,2005,12,4,DJF
2005-12-27,4N90E,29.31,250.13,361,2005,12,4,DJF
2005-12-28,4N90E,29.31,250.13,362,2005,12,4,DJF
2005-12-29,4N90E,29.31,250.13,363,2005,12,4,DJF
2005-12-30,4N90E,29.31,250.13,364,2005,12,4,DJF
2005-12-31,4N90E,29.31,250.13,365,2005,12,4,DJF
2006-01-01,4N90E,29.31,250.13,1,2006,1,1,DJF
2006-01-02,4N90E,29.31,250.13,2,2006,1,1,DJF
2006-01-03,4N90E,29.31,250.13,3,2006,1,1,DJF
2006-01-04,4N90E,29.31,250.13,4,2006,1,1,DJF
2006-01-05,4N90E,29.31,250.13,5,2006,1,1,DJF
2006-01-06,4N90E,29.31,250.13,6,2006,1,1,DJF
2006-01-07,4N90E,29.31,250.13,7,2006,1,1,DJF
2006-01-08,4N90E,29.31,250.13,8,2006,1,1,DJF
2006-01-09,4N90E,29.31,250.13,9,2006,1,1,DJF
2006-01-10,4N90E,29.31,250.13,10,2006,1,1,DJF
2006-01-11,4N90E,29.31,250.13,11,2006,1,1,DJF
2006-01-12,4N90E,29.31,250.13,12,2006,1,1,DJF
2006-01-13,4N90E,29.31,250.13,13,2006,1,1,DJF
2006-01-14,4N90E,29.31,250.13,14,2006,1,1,DJF
2006-01-15,4N90E,29.31,250.13,15,2006,1,1,DJF
2006-01-16,4N90E,29.31,250.13,16,2006,1,1,DJF
2006-01-17,4N90E,29.31,250.13,17,2006,1,1,DJF
2006-01-18,4N90E,29.31,250.13,18,2006,1,1,DJF
2006-01-19,4N90E,29.31,250.13,19,2006,1,1,DJF
2006-01-20,4N90E,29.31,250.13,20,2006,1,1,DJF
2006-01-21,4N90E,29.31,250.13,21,2006,1,1,DJF
2006-01-22,4N90E,29.31,250.13,22,2006,1,1,DJF
2006-01-23,4N90E,29.31,250.13,23,2006,1,1,DJF
2006-01-24,4N90E,29.31,250.13,24,2006,1,1,DJF
2006-01-25,4N90E,29.31,250.13,25,2006,1,1,DJF
2006-01-26,4N90E,29.31,250.13,26,2006,1,1,DJF
2006-01-27,4N90E,29.31,250.13,27,2006,1,1,DJF
2006-01-28,4N90E,29.31,250.13,28,2006,1,1,DJF
2006-01-29,4N90E,29.31,250.13,29,2006,1,1,DJF
2006-01-30,4N90E,29.31,250.13,30,2006,1,1,DJF
2006-01-31,4N90E,29.31,250.13,31,2006,1,1,DJF
2006-02-01,4N90E,29.31,250.13,32,2006,2,1,DJF
2006-02-02,4N90E,29.31,250.13,33,2006,2,1,DJF
2006-02-03,4N90E,29.31,250.13,34,2006,2,1,DJF
2006-02-04,4N90E,29.31,250.13,35,2006,2,1,DJF
2006-02-05,4N90E,29.31,250.13,36,2006,2,1,DJF
2006-02-06,4N90E,29.31,250.13,37,2006,2,1,DJF
2006-02-07,4N90E,29.31,250.13,38,2006,2,1,DJF
2006-02-08,4N90E,29.31,250.13,39,2006,2,1,DJF
2006-02-09,4N90E,29.31,250.13,40,2006,2,1,DJF
2006-02-10,4N90E,29.31,250.13,41,2006,2,1,DJF
2006-02-11,4N90E,29.31,250.13,42,2006,2,1,DJF
2006-02-12,4N90E,29.31,250.13,43,2006,2,1,DJF
2006-02-13,4N90E,29.31,250.13,44,2006,2,1,DJF
2006-02-14,4N90E,29.31,250.13,45,2006,2,1,DJF
2006-02-15,4N90E,29.31,250.13,46,2006,2,1,DJF
2006-02-16,4N90E,29.31,250.13,47,2006,2,1,DJF
2006-02-17,4N90E,29.31,250.13,48,2006,2,1,DJF
2006-02-18,4N90E,29.31,250.13,49,2006,2,1,DJF
2006-02-19,4N90E,29.31,250.13,50,2006,2,1,DJF
2006-02-20,4N90E,29.31,250.13,51,2006,2,1,DJF
2006-02-21,4N90E,29.31,250.13,52,2006,2,1,DJF
2006-02-22,4N90E,29.31,250.13,53,2006,2,1,DJF
2006-02-23,4N90E,29.31,250.13,54,2006,2,1,DJF
2006-02-24,4N90E,29.31,250.13,55,2006,2,1,DJF
2006-02-25,4N90E,29.31,250.13,56,2006,2,1,DJF
2006-02-26,4N90E,29.31,250.13,57,2006,2,1,DJF
2006-02-27,4N90E,29.31,250.13,58,2006,2,1,DJF
2006-02-28,4N90E,29.31,250.13,59,2006,2,1,DJF
