Date,Year,Month,Day,Prec,StDev,%Time,Q,S,data_quality,source_priority,is_outlier_Prec
2005-02-06,2005,2,6,0.0,0.06,0.0,2,5,high,5,False
2005-02-07,2005,2,7,0.02,0.25,1.4,2,5,high,5,False
2005-02-08,2005,2,8,0.16,1.32,1.4,2,5,high,5,False
2005-02-09,2005,2,9,0.14,1.23,2.1,2,5,high,5,False
2005-02-10,2005,2,10,0.13,1.25,1.4,2,5,high,5,False
2005-02-11,2005,2,11,-0.01,0.01,0.0,2,5,high,5,False
2005-02-12,2005,2,12,-0.01,0.01,0.0,2,5,high,5,False
2005-02-13,2005,2,13,0.0,0.02,0.0,2,5,high,5,False
2005-02-14,2005,2,14,-0.01,0.04,0.0,2,5,high,5,False
2005-02-15,2005,2,15,0.0,0.03,0.0,2,5,high,5,False
2005-02-16,2005,2,16,-0.01,0.04,0.0,2,5,high,5,False
2005-02-17,2005,2,17,0.41,2.25,5.6,2,5,high,5,False
2005-02-18,2005,2,18,-0.01,0.02,0.0,2,5,high,5,False
2005-02-19,2005,2,19,-0.01,0.03,0.0,2,5,high,5,False
2005-02-20,2005,2,20,0.01,0.1,0.7,2,5,high,5,False
2005-02-21,2005,2,21,,8.14,25.0,2,5,high,5,True
2005-02-22,2005,2,22,0.18,0.87,4.9,2,5,high,5,False
2005-02-23,2005,2,23,-0.01,0.05,0.0,2,5,high,5,False
2005-02-24,2005,2,24,-0.01,0.05,0.0,2,5,high,5,False
2005-02-25,2005,2,25,-0.01,0.05,0.0,2,5,high,5,False
2005-02-26,2005,2,26,0.05,0.45,1.4,2,5,high,5,False
2005-02-27,2005,2,27,-0.01,0.05,0.0,2,5,high,5,False
2005-02-28,2005,2,28,0.0,0.08,0.0,2,5,high,5,False
2005-03-01,2005,3,1,0.01,0.1,0.0,2,5,high,5,False
2005-03-02,2005,3,2,0.0,0.03,0.0,2,5,high,5,False
2005-03-03,2005,3,3,0.15,1.09,2.1,2,5,high,5,False
2005-03-04,2005,3,4,-0.01,0.09,0.0,2,5,high,5,False
2005-03-05,2005,3,5,0.0,0.08,0.0,2,5,high,5,False
2005-03-06,2005,3,6,0.07,0.7,1.4,2,5,high,5,False
2005-03-07,2005,3,7,-0.01,0.13,0.0,2,5,high,5,False
2005-03-08,2005,3,8,-0.01,0.12,0.0,2,5,high,5,False
2005-03-09,2005,3,9,,13.58,20.7,2,5,high,5,True
2005-03-10,2005,3,10,-0.02,0.14,0.0,2,5,high,5,False
2005-03-11,2005,3,11,0.0,0.11,0.0,2,5,high,5,False
2005-03-12,2005,3,12,-0.01,0.12,0.0,2,5,high,5,False
2005-03-13,2005,3,13,0.0,0.19,0.0,2,5,high,5,False
2005-03-14,2005,3,14,0.01,0.17,0.7,2,5,high,5,False
2005-03-15,2005,3,15,0.0,0.14,0.0,2,5,high,5,False
2005-03-16,2005,3,16,-0.01,0.13,0.0,2,5,high,5,False
2005-03-17,2005,3,17,-0.01,0.11,0.0,2,5,high,5,False
2005-03-18,2005,3,18,-0.01,0.16,0.0,2,5,high,5,False
2005-03-19,2005,3,19,0.02,0.23,1.4,2,5,high,5,False
2005-03-20,2005,3,20,0.05,0.46,1.4,2,5,high,5,False
2005-03-21,2005,3,21,1.16,5.13,18.8,2,5,high,5,False
2005-03-22,2005,3,22,0.29,1.94,5.6,2,5,high,5,False
2005-03-23,2005,3,23,0.12,1.33,1.4,2,5,high,5,False
2005-03-24,2005,3,24,2.32,6.66,18.1,2,5,high,5,False
2005-03-25,2005,3,25,0.12,0.69,4.2,2,5,high,5,False
2005-03-26,2005,3,26,0.69,2.52,12.5,2,5,high,5,False
2005-03-27,2005,3,27,0.14,0.63,4.9,2,5,high,5,False
2005-03-28,2005,3,28,0.21,1.72,2.1,2,5,high,5,False
2005-03-29,2005,3,29,-0.02,0.04,0.0,2,5,high,5,False
2005-03-30,2005,3,30,0.59,3.69,5.6,2,5,high,5,False
2005-03-31,2005,3,31,0.01,0.14,0.7,2,5,high,5,False
2005-04-01,2005,4,1,0.54,2.43,9.0,2,5,high,5,False
2005-04-02,2005,4,2,0.0,0.04,0.0,2,5,high,5,False
2005-04-03,2005,4,3,0.0,0.01,0.0,2,5,high,5,False
2005-04-04,2005,4,4,0.0,0.02,0.0,2,5,high,5,False
2005-04-05,2005,4,5,0.0,0.02,0.0,2,5,high,5,False
2005-04-06,2005,4,6,-0.01,0.02,0.0,2,5,high,5,False
2005-04-07,2005,4,7,0.0,0.02,0.0,2,5,high,5,False
2005-04-08,2005,4,8,0.0,0.02,0.0,2,5,high,5,False
2005-04-09,2005,4,9,0.0,0.02,0.0,2,5,high,5,False
2005-04-10,2005,4,10,-0.01,0.03,0.0,2,5,high,5,False
2005-04-11,2005,4,11,-0.01,0.05,0.0,2,5,high,5,False
2005-04-12,2005,4,12,0.01,0.18,0.7,2,5,high,5,False
2005-04-13,2005,4,13,0.0,0.11,0.0,2,5,high,5,False
2005-04-14,2005,4,14,-0.01,0.06,0.0,2,5,high,5,False
2005-04-15,2005,4,15,-0.01,0.03,0.0,2,5,high,5,False
2005-04-16,2005,4,16,0.0,0.06,0.0,2,5,high,5,False
2005-04-17,2005,4,17,1.79,7.54,12.5,2,5,high,5,False
2005-04-18,2005,4,18,-0.01,0.13,0.0,2,5,high,5,False
2005-04-19,2005,4,19,0.0,0.13,0.0,2,5,high,5,False
2005-04-20,2005,4,20,0.02,0.26,2.1,2,5,high,5,False
2005-04-21,2005,4,21,0.11,1.01,1.4,2,5,high,5,False
2005-04-22,2005,4,22,0.0,0.07,0.0,2,5,high,5,False
2005-04-23,2005,4,23,0.0,0.06,0.0,2,5,high,5,False
2005-04-24,2005,4,24,0.0,0.1,0.0,2,5,high,5,False
2005-04-25,2005,4,25,0.0,0.09,0.0,2,5,high,5,False
2005-04-26,2005,4,26,0.02,0.08,0.0,2,5,high,5,False
2005-04-27,2005,4,27,0.38,1.8,11.1,2,5,high,5,False
2005-04-28,2005,4,28,-0.01,0.09,0.0,2,5,high,5,False
2005-04-29,2005,4,29,0.0,0.06,0.0,2,5,high,5,False
2005-04-30,2005,4,30,0.0,0.07,0.0,2,5,high,5,False
2005-05-01,2005,5,1,0.42,1.63,12.5,2,5,high,5,False
2005-05-02,2005,5,2,0.82,2.74,10.4,2,5,high,5,False
2005-05-03,2005,5,3,,8.31,20.8,2,5,high,5,True
2005-05-04,2005,5,4,1.4,3.34,20.8,2,5,high,5,False
2005-05-05,2005,5,5,0.66,3.0,7.6,2,5,high,5,False
2005-05-06,2005,5,6,1.14,3.53,15.3,2,5,high,5,False
2005-05-07,2005,5,7,0.78,2.71,14.6,2,5,high,5,False
2005-05-08,2005,5,8,1.04,3.62,14.6,2,5,high,5,False
2005-05-09,2005,5,9,0.0,0.19,1.4,2,5,high,5,False
2005-05-10,2005,5,10,-0.01,0.26,1.4,2,5,high,5,False
2005-05-11,2005,5,11,0.08,0.88,1.4,2,5,high,5,False
2005-05-12,2005,5,12,-0.02,0.09,0.0,2,5,high,5,False
2005-05-13,2005,5,13,-0.01,0.05,0.0,2,5,high,5,False
2005-05-14,2005,5,14,0.01,0.13,0.7,2,5,high,5,False
2005-05-15,2005,5,15,-0.01,0.06,0.0,2,5,high,5,False
2005-05-16,2005,5,16,-0.01,0.06,0.0,2,5,high,5,False
2005-05-17,2005,5,17,-0.01,0.05,0.0,2,5,high,5,False
2005-05-18,2005,5,18,-0.01,0.05,0.0,2,5,high,5,False
2005-05-19,2005,5,19,-0.01,0.07,0.0,2,5,high,5,False
2005-05-20,2005,5,20,-0.02,0.03,0.0,2,5,high,5,False
2005-05-21,2005,5,21,-0.02,0.02,0.0,2,5,high,5,False
2005-05-22,2005,5,22,-0.02,0.02,0.0,2,5,high,5,False
2005-05-23,2005,5,23,-0.02,0.02,0.0,2,5,high,5,False
2005-05-24,2005,5,24,-0.01,0.05,0.0,2,5,high,5,False
2005-05-25,2005,5,25,-0.01,0.08,0.0,2,5,high,5,False
2005-05-26,2005,5,26,-0.01,0.07,0.0,2,5,high,5,False
2005-05-27,2005,5,27,0.15,1.17,2.1,2,5,high,5,False
2005-05-28,2005,5,28,0.01,0.13,0.0,2,5,high,5,False
2005-05-29,2005,5,29,0.14,1.55,2.1,2,5,high,5,False
2005-05-30,2005,5,30,0.01,0.34,2.8,2,5,high,5,False
2005-05-31,2005,5,31,0.02,0.22,0.7,2,5,high,5,False
2005-06-01,2005,6,1,-0.01,0.11,0.7,2,5,high,5,False
2005-06-02,2005,6,2,0.03,0.19,0.7,2,5,high,5,False
2005-06-03,2005,6,3,0.02,0.26,2.1,2,5,high,5,False
2005-06-04,2005,6,4,0.02,0.23,0.7,2,5,high,5,False
2005-06-05,2005,6,5,-0.01,0.05,0.0,2,5,high,5,False
2005-06-06,2005,6,6,0.03,0.39,1.4,2,5,high,5,False
2005-06-07,2005,6,7,0.07,0.72,2.1,2,5,high,5,False
2005-06-08,2005,6,8,0.03,0.3,2.1,2,5,high,5,False
2005-06-09,2005,6,9,-0.01,0.1,0.0,2,5,high,5,False
2005-06-10,2005,6,10,-0.01,0.12,0.0,2,5,high,5,False
2005-06-11,2005,6,11,-0.01,0.11,0.0,2,5,high,5,False
2005-06-12,2005,6,12,-0.01,0.07,0.0,2,5,high,5,False
2005-06-13,2005,6,13,0.91,3.95,8.3,2,5,high,5,False
2005-06-14,2005,6,14,0.53,2.27,9.0,2,5,high,5,False
2005-06-15,2005,6,15,0.02,0.57,1.4,2,5,high,5,False
2005-06-16,2005,6,16,0.86,4.47,6.9,2,5,high,5,False
2005-06-17,2005,6,17,0.16,1.27,2.8,2,5,high,5,False
2005-06-18,2005,6,18,0.13,1.32,1.4,2,5,high,5,False
2005-06-19,2005,6,19,0.04,0.52,0.7,2,5,high,5,False
2005-06-20,2005,6,20,0.01,0.16,0.7,2,5,high,5,False
2005-06-21,2005,6,21,-0.01,0.01,0.0,2,5,high,5,False
2005-06-22,2005,6,22,0.0,0.02,0.0,2,5,high,5,False
2005-06-23,2005,6,23,-0.01,0.01,0.0,2,5,high,5,False
2005-06-24,2005,6,24,-0.01,0.02,0.0,2,5,high,5,False
2005-06-25,2005,6,25,-0.02,0.02,0.0,2,5,high,5,False
2005-06-26,2005,6,26,0.09,0.87,1.4,2,5,high,5,False
2005-06-27,2005,6,27,-0.02,0.03,0.0,2,5,high,5,False
2005-06-28,2005,6,28,0.01,0.02,0.0,2,5,high,5,False
2005-06-29,2005,6,29,0.0,0.03,0.0,2,5,high,5,False
2005-06-30,2005,6,30,0.0,0.03,0.0,2,5,high,5,False
2005-07-01,2005,7,1,0.0,0.04,0.0,2,5,high,5,False
2005-07-02,2005,7,2,-0.02,0.1,0.0,2,5,high,5,False
2005-07-03,2005,7,3,-0.01,0.02,0.0,2,5,high,5,False
2005-07-04,2005,7,4,0.0,0.02,0.0,2,5,high,5,False
2005-07-05,2005,7,5,0.0,0.11,0.7,2,5,high,5,False
2005-07-06,2005,7,6,0.01,0.09,0.0,2,5,high,5,False
2005-07-07,2005,7,7,0.13,0.6,5.6,2,5,high,5,False
2005-07-08,2005,7,8,-0.01,0.03,0.0,2,5,high,5,False
2005-07-09,2005,7,9,0.13,0.68,5.6,2,5,high,5,False
2005-07-10,2005,7,10,1.33,4.05,22.9,2,5,high,5,False
2005-07-11,2005,7,11,0.65,2.45,11.1,2,5,high,5,False
2005-07-12,2005,7,12,1.48,5.66,15.3,2,5,high,5,False
2005-07-13,2005,7,13,1.91,6.46,22.2,2,5,high,5,False
2005-07-14,2005,7,14,0.02,0.34,1.4,2,5,high,5,False
2005-07-15,2005,7,15,1.07,3.8,14.2,2,5,high,5,False
2005-07-16,2005,7,16,0.01,0.3,0.7,2,5,high,5,False
2005-07-17,2005,7,17,-0.01,0.05,0.0,2,5,high,5,False
2005-07-18,2005,7,18,0.69,3.1,8.3,2,5,high,5,False
2005-07-19,2005,7,19,-0.01,0.08,0.0,2,5,high,5,False
2005-07-20,2005,7,20,0.41,1.93,7.6,2,5,high,5,False
2005-07-21,2005,7,21,0.05,0.25,3.5,2,5,high,5,False
2005-07-22,2005,7,22,0.23,1.15,5.6,2,5,high,5,False
2005-07-23,2005,7,23,0.02,0.25,1.4,2,5,high,5,False
2005-07-24,2005,7,24,-0.01,0.03,0.0,2,5,high,5,False
2005-07-25,2005,7,25,-0.02,0.03,0.0,2,5,high,5,False
2005-07-26,2005,7,26,-0.02,0.03,0.0,2,5,high,5,False
2005-07-27,2005,7,27,-0.03,0.02,0.0,2,5,high,5,False
2005-07-28,2005,7,28,-0.02,0.01,0.0,2,5,high,5,False
2005-07-29,2005,7,29,-0.01,0.01,0.0,2,5,high,5,False
2005-07-30,2005,7,30,-0.02,0.01,0.0,2,5,high,5,False
2005-07-31,2005,7,31,-0.02,0.01,0.0,2,5,high,5,False
2005-08-01,2005,8,1,-0.02,0.01,0.0,2,5,high,5,False
2005-08-02,2005,8,2,-0.02,0.01,0.0,2,5,high,5,False
2005-08-03,2005,8,3,-0.02,0.02,0.0,2,5,high,5,False
2005-08-04,2005,8,4,-0.02,0.01,0.0,2,5,high,5,False
2005-08-05,2005,8,5,-0.01,0.01,0.0,2,5,high,5,False
2005-08-06,2005,8,6,-0.01,0.01,0.0,2,5,high,5,False
2005-08-07,2005,8,7,-0.01,0.1,0.7,2,5,high,5,False
2005-08-08,2005,8,8,-0.02,0.01,0.0,2,5,high,5,False
2005-08-09,2005,8,9,-0.01,0.01,0.0,2,5,high,5,False
2005-08-10,2005,8,10,-0.01,0.02,0.0,2,5,high,5,False
2005-08-11,2005,8,11,0.04,0.5,1.4,2,5,high,5,False
2005-08-12,2005,8,12,0.01,0.25,1.4,2,5,high,5,False
2005-08-13,2005,8,13,0.03,0.47,1.4,2,5,high,5,False
2005-08-14,2005,8,14,-0.02,0.01,0.0,2,5,high,5,False
2005-08-15,2005,8,15,0.02,0.29,1.4,2,5,high,5,False
2005-08-16,2005,8,16,2.44,11.84,7.6,2,5,high,5,False
2005-08-17,2005,8,17,0.07,0.45,2.8,2,5,high,5,False
2005-08-18,2005,8,18,0.64,3.08,6.9,2,5,high,5,False
2005-08-19,2005,8,19,0.16,0.79,4.2,2,5,high,5,False
2005-08-20,2005,8,20,0.13,1.61,0.7,2,5,high,5,False
2005-08-21,2005,8,21,0.43,2.16,8.3,2,5,high,5,False
2005-08-22,2005,8,22,0.2,2.01,2.1,2,5,high,5,False
2005-08-23,2005,8,23,0.0,0.08,0.0,2,5,high,5,False
2005-08-24,2005,8,24,1.2,4.57,8.3,2,5,high,5,False
2005-08-25,2005,8,25,0.13,1.06,2.1,2,5,high,5,False
2005-08-26,2005,8,26,0.1,0.35,2.8,2,5,high,5,False
2005-08-27,2005,8,27,0.0,0.1,0.0,2,5,high,5,False
2005-08-28,2005,8,28,1.5,4.48,18.1,2,5,high,5,False
2005-08-29,2005,8,29,0.22,1.8,2.1,2,5,high,5,False
2005-08-30,2005,8,30,1.57,5.09,18.1,2,5,high,5,False
2005-08-31,2005,8,31,1.69,6.18,20.8,2,5,high,5,False
2005-09-01,2005,9,1,0.74,2.94,11.1,2,5,high,5,False
2005-09-02,2005,9,2,0.75,2.08,18.8,2,5,high,5,False
2005-09-03,2005,9,3,0.36,1.68,6.9,2,5,high,5,False
2005-09-04,2005,9,4,0.07,0.83,1.4,2,5,high,5,False
2005-09-05,2005,9,5,-0.02,0.18,0.7,2,5,high,5,False
2005-09-06,2005,9,6,0.01,0.17,0.7,2,5,high,5,False
2005-09-07,2005,9,7,-0.01,0.04,0.0,2,5,high,5,False
2005-09-08,2005,9,8,0.05,0.46,1.4,2,5,high,5,False
2005-09-09,2005,9,9,0.0,0.02,0.0,2,5,high,5,False
2005-09-10,2005,9,10,0.0,0.02,0.0,2,5,high,5,False
2005-09-11,2005,9,11,0.0,0.02,0.0,2,5,high,5,False
2005-09-12,2005,9,12,-0.01,0.01,0.0,2,5,high,5,False
2005-09-13,2005,9,13,0.0,0.01,0.0,2,5,high,5,False
2005-09-14,2005,9,14,-0.01,0.01,0.0,2,5,high,5,False
2005-09-15,2005,9,15,-0.01,0.01,0.0,2,5,high,5,False
2005-09-16,2005,9,16,-0.02,0.01,0.0,2,5,high,5,False
2005-09-17,2005,9,17,-0.02,0.01,0.0,2,5,high,5,False
2005-09-18,2005,9,18,-0.02,0.01,0.0,2,5,high,5,False
2005-09-19,2005,9,19,-0.01,0.01,0.0,2,5,high,5,False
2005-09-20,2005,9,20,-0.01,0.01,0.0,2,5,high,5,False
2005-09-21,2005,9,21,-0.01,0.02,0.0,2,5,high,5,False
2005-09-22,2005,9,22,-0.01,0.01,0.0,2,5,high,5,False
2005-09-23,2005,9,23,-0.01,0.02,0.0,2,5,high,5,False
2005-09-24,2005,9,24,-0.01,0.01,0.0,2,5,high,5,False
2005-09-25,2005,9,25,-0.01,0.04,0.0,2,5,high,5,False
2005-09-26,2005,9,26,-0.01,0.03,0.0,2,5,high,5,False
2005-09-27,2005,9,27,0.66,3.07,6.9,2,5,high,5,False
2005-09-28,2005,9,28,-0.01,0.04,0.0,2,5,high,5,False
2005-09-29,2005,9,29,-0.02,0.02,0.0,2,5,high,5,False
2005-09-30,2005,9,30,0.9,3.37,10.4,2,5,high,5,False
2005-10-01,2005,10,1,2.17,6.52,23.6,2,5,high,5,False
2005-10-02,2005,10,2,0.99,2.22,20.8,2,5,high,5,False
2005-10-03,2005,10,3,0.68,3.34,10.6,2,5,high,5,False
2005-10-04,2005,10,4,1.76,6.7,15.3,2,5,high,5,False
2005-10-05,2005,10,5,0.01,0.15,0.0,2,5,high,5,False
2005-10-06,2005,10,6,-0.01,0.06,0.0,2,5,high,5,False
2005-10-07,2005,10,7,0.23,1.0,4.9,2,5,high,5,False
2005-10-08,2005,10,8,0.33,2.14,3.5,2,5,high,5,False
2005-10-09,2005,10,9,0.34,1.54,7.6,2,5,high,5,False
2005-10-10,2005,10,10,0.23,0.87,6.9,2,5,high,5,False
2005-10-11,2005,10,11,0.19,0.89,5.6,2,5,high,5,False
2005-10-12,2005,10,12,-0.01,0.04,0.0,2,5,high,5,False
2005-10-13,2005,10,13,-0.04,0.02,0.0,2,5,high,5,False
2005-10-14,2005,10,14,0.76,3.4,9.7,2,5,high,5,False
2005-10-15,2005,10,15,0.48,2.63,4.9,2,5,high,5,False
2005-10-16,2005,10,16,0.04,0.18,1.4,2,5,high,5,False
2005-10-17,2005,10,17,0.01,0.28,0.7,2,5,high,5,False
2005-10-18,2005,10,18,0.36,2.32,4.2,2,5,high,5,False
2005-10-19,2005,10,19,-0.02,0.03,0.0,2,5,high,5,False
2005-10-20,2005,10,20,0.18,0.92,5.6,2,5,high,5,False
2005-10-21,2005,10,21,-0.01,0.01,0.0,2,5,high,5,False
2005-10-22,2005,10,22,-0.01,0.07,0.0,2,5,high,5,False
2005-10-23,2005,10,23,0.0,0.12,0.7,2,5,high,5,False
2005-10-24,2005,10,24,0.03,0.2,1.4,2,5,high,5,False
2005-10-25,2005,10,25,0.01,0.09,0.0,2,5,high,5,False
2005-10-26,2005,10,26,0.69,3.33,9.0,2,5,high,5,False
2005-10-27,2005,10,27,0.69,3.41,6.9,2,5,high,5,False
2005-10-28,2005,10,28,0.12,1.01,2.8,2,5,high,5,False
2005-10-29,2005,10,29,1.08,2.51,23.6,2,5,high,5,False
2005-10-30,2005,10,30,-0.02,0.03,0.0,2,5,high,5,False
2005-10-31,2005,10,31,0.14,0.75,4.9,2,5,high,5,False
2005-11-01,2005,11,1,1.02,2.23,22.9,2,5,high,5,False
2005-11-02,2005,11,2,0.32,2.04,4.9,2,5,high,5,False
2005-11-03,2005,11,3,1.21,4.72,14.6,2,5,high,5,False
2005-11-04,2005,11,4,-0.01,0.05,0.0,2,5,high,5,False
2005-11-05,2005,11,5,0.04,0.33,1.4,2,5,high,5,False
2005-11-06,2005,11,6,-0.01,0.06,0.0,2,5,high,5,False
2005-11-07,2005,11,7,0.07,0.64,1.4,2,5,high,5,False
2005-11-08,2005,11,8,0.0,0.05,0.0,2,5,high,5,False
2005-11-09,2005,11,9,0.17,1.38,2.1,2,5,high,5,False
2005-11-10,2005,11,10,0.04,0.17,0.7,2,5,high,5,False
2005-11-11,2005,11,11,0.3,2.28,2.8,2,5,high,5,False
2005-11-12,2005,11,12,0.29,2.3,2.1,2,5,high,5,False
2005-11-13,2005,11,13,0.0,0.09,0.0,2,5,high,5,False
2005-11-14,2005,11,14,0.15,0.65,4.9,2,5,high,5,False
2005-11-15,2005,11,15,0.44,1.39,12.5,2,5,high,5,False
2005-11-16,2005,11,16,0.87,2.46,18.1,2,5,high,5,False
2005-11-17,2005,11,17,0.82,1.67,22.9,2,5,high,5,False
2005-11-18,2005,11,18,0.3,1.37,8.3,2,5,high,5,False
2005-11-19,2005,11,19,0.17,1.13,3.5,2,5,high,5,False
2005-11-20,2005,11,20,0.16,1.0,2.8,2,5,high,5,False
2005-11-21,2005,11,21,0.0,0.08,0.0,2,5,high,5,False
2005-11-22,2005,11,22,-0.01,0.1,0.0,2,5,high,5,False
2005-11-23,2005,11,23,0.33,2.79,3.5,2,5,high,5,False
2005-11-24,2005,11,24,0.5,2.96,4.9,2,5,high,5,False
2005-11-25,2005,11,25,0.0,0.08,0.0,2,5,high,5,False
2005-11-26,2005,11,26,0.0,0.01,0.0,2,5,high,5,False
2005-11-27,2005,11,27,0.04,0.33,1.4,2,5,high,5,False
2005-11-28,2005,11,28,0.0,0.01,0.0,2,5,high,5,False
2005-11-29,2005,11,29,0.0,0.01,0.0,2,5,high,5,False
2005-11-30,2005,11,30,-0.02,0.01,0.0,2,5,high,5,False
2005-12-01,2005,12,1,0.0,0.14,0.7,2,5,high,5,False
2005-12-02,2005,12,2,0.42,3.63,2.1,2,5,high,5,False
2005-12-03,2005,12,3,2.41,6.9,25.0,2,5,high,5,False
2005-12-04,2005,12,4,0.29,1.32,7.6,2,5,high,5,False
2005-12-05,2005,12,5,0.0,0.09,0.0,2,5,high,5,False
2005-12-06,2005,12,6,0.32,1.95,5.6,2,5,high,5,False
2005-12-07,2005,12,7,0.08,0.69,1.4,2,5,high,5,False
2005-12-08,2005,12,8,0.59,3.73,4.9,2,5,high,5,False
2005-12-09,2005,12,9,0.0,0.05,0.0,2,5,high,5,False
2005-12-10,2005,12,10,0.0,0.21,0.7,2,5,high,5,False
2005-12-11,2005,12,11,0.08,0.48,4.2,2,5,high,5,False
2005-12-12,2005,12,12,0.25,2.25,2.8,2,5,high,5,False
2005-12-13,2005,12,13,0.34,1.53,8.3,2,5,high,5,False
2005-12-14,2005,12,14,0.37,2.12,5.6,2,5,high,5,False
2005-12-15,2005,12,15,-0.01,0.11,0.0,2,5,high,5,False
2005-12-16,2005,12,16,0.16,0.86,3.5,2,5,high,5,False
2005-12-17,2005,12,17,0.01,0.2,1.4,2,5,high,5,False
2005-12-18,2005,12,18,0.03,0.33,1.4,2,5,high,5,False
2005-12-19,2005,12,19,0.14,1.07,1.4,2,5,high,5,False
2005-12-20,2005,12,20,0.11,0.83,2.8,2,5,high,5,False
2005-12-21,2005,12,21,1.04,4.94,13.2,2,5,high,5,False
2005-12-22,2005,12,22,0.08,1.02,1.4,2,5,high,5,False
2005-12-23,2005,12,23,0.0,0.16,0.7,2,5,high,5,False
2005-12-24,2005,12,24,-0.02,0.03,0.0,2,5,high,5,False
2005-12-25,2005,12,25,0.0,0.04,0.0,2,5,high,5,False
2005-12-26,2005,12,26,0.09,0.73,2.1,2,5,high,5,False
2005-12-27,2005,12,27,2.23,8.83,15.3,2,5,high,5,False
2005-12-28,2005,12,28,1.43,7.92,6.2,2,5,high,5,False
2005-12-29,2005,12,29,0.46,3.29,4.9,2,5,high,5,False
2005-12-30,2005,12,30,-0.01,0.06,0.0,2,5,high,5,False
2005-12-31,2005,12,31,-0.01,0.02,0.0,2,5,high,5,False
2006-01-01,2006,1,1,-0.02,0.01,0.0,2,5,high,5,False
2006-01-02,2006,1,2,-0.03,0.01,0.0,2,5,high,5,False
2006-01-03,2006,1,3,0.18,1.31,2.8,2,5,high,5,False
2006-01-04,2006,1,4,-0.02,0.03,0.0,2,5,high,5,False
2006-01-05,2006,1,5,-0.03,0.03,0.0,2,5,high,5,False
2006-01-06,2006,1,6,-0.01,0.05,0.0,2,5,high,5,False
2006-01-07,2006,1,7,0.52,2.09,9.0,2,5,high,5,False
2006-01-08,2006,1,8,0.12,0.4,4.2,2,5,high,5,False
2006-01-09,2006,1,9,1.55,4.89,16.7,2,5,high,5,False
2006-01-10,2006,1,10,,9.22,34.0,2,5,high,5,True
2006-01-11,2006,1,11,0.03,0.32,0.7,2,5,high,5,False
2006-01-12,2006,1,12,-0.01,0.02,0.0,2,5,high,5,False
2006-01-13,2006,1,13,0.06,0.41,2.8,2,5,high,5,False
2006-01-14,2006,1,14,-0.02,0.02,0.0,2,5,high,5,False
2006-01-15,2006,1,15,,10.99,25.7,2,5,high,5,True
2006-01-16,2006,1,16,0.52,2.06,9.0,2,5,high,5,False
2006-01-17,2006,1,17,0.14,0.59,2.8,2,5,high,5,False
2006-01-18,2006,1,18,0.23,1.41,2.8,2,5,high,5,False
