id_periode,id_petani,bulan_tanam,luas_tanam_m2,bulan_panen,luas_panen_m2,produksi_dalam_gunca,gunca_kg,pengeluaran_rp,harga_jual_perkg,hasil_panen_dijual,status_pengelolaan,jml_tanam_padi_1th,jenis_lahan,air_multi_tanam,pemupukan,jenis_pupuk,pengendalian_hama,jenis_hama,penyakit_padi,pestisida,pengendalian_gulma,cara_pengendalian_gulma
PRD019,PTN010,nov - jan,4000,Maret,4000,9.0,1620,2.500.000,7000,Ya sebagian,Milik sendiri,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, walang sangit, Belalang, Siput Murbai/Keong","Bercak daun, Busuk batang, Blas",Ada,Ada,Mencabut rumput
PRD020,PTN010,mei - juli,4000,September,4000,9.0,1620,2.500.000,7000,Ya sebagian,Milik sendiri,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, walang sangit, Belalang, Siput Murbai/Keong","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD021,PTN011,nov - jan,1000,Januari,1000,4.0,720,1.000.000,5000,Tidak,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,Tikus,Bercak daun,Ada,Ada,Mencabut rumput
PRD022,PTN011,mei - juli,1000,September,1000,4.0,720,1.000.000,5000,Tidak,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,Tikus,Bercak daun,Ada,Ada,Mencabut rumput
PRD023,PTN012,nov - jan,3000,Januari,3000,8.0,1440,3.000.000,6500,Ya sebagian,Milik sendiri,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Wereng, Tulo/burung pipit, walang sangit, Hama putih, Belalang, Siput Murbai/Keong","Hawar daun bakteri, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD024,PTN012,mei - juli,3000,September,3000,8.0,1440,3.000.000,7000,Ya sebagian,Milik sendiri,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Wereng, Tulo/burung pipit, walang sangit, Hama putih , Belalang, Siput Murbai/Keong","Hawar daun bakteri, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD025,PTN013,nov - jan,3000,Maret,3000,6.0,1080,2.500.000,7000,Ya sebagian,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL, Pupuk Kandang",Ada,"Tikus, Wereng, Tulo/burung pipit, walang sangit, Belalang, Siput Murbai/Keong","Hawar daun bakteri, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD026,PTN013,mei - juli,3000,September,3000,6.0,1080,2.000.000,8000,Ya sebagian,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL, Pupuk Kandang",Ada,"Tikus, Wereng, Tulo/burung pipit, walang sangit, Belalang, Siput Murbai/Keong","Hawar daun bakteri, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD027,PTN014,mei - juli,2500,September,2500,7.0,1260,2.000.000,6500,Ya seluruhnya,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Wereng, Tulo/burung pipit, penggerek batang padi, walang sangit, Hama putih , Belalang, Kepinding, Siput Murbai/Keong","Blas, Hawar daun bakteri, Tungro, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD028,PTN015,agt - okt,2500,Desember,2500,7.0,1260,2.000.000,6500,Ya seluruhnya,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Wereng, Tulo/burung pipit, penggerek batang padi, walang sangit, Hama putih , Belalang, Kepinding, Siput Murbai/Keong","Blas, Hawar daun bakteri, Tungro, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD029,PTN016,mei - juli,350,September,350,1.0,180,300.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, Pupuk kompos",Ada,"Tikus, Wereng, Tulo/burung pipit, penggerek batang padi, walang sangit, Hama putih, Belalang, Siput Murbai/Keong","Blas, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD030,PTN016,agt - okt,350,November,350,1.0,180,300.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, Pupuk kompos",Ada,"Tikus, Wereng, Tulo/burung pipit, penggerek batang padi, walang sangit, Hama putih, Belalang, Siput Murbai/Keong","Blas, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD031,PTN017,nov - jan,500,Maret,500,3.0,540,1.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Wereng, Tulo/burung pipit, penggerek batang padi, walang sangit, Hama putih, Belalang","Blas, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD032,PTN017,mei - juli,500,September,500,4.0,720,1.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Wereng, Tulo/burung pipit, penggerek batang padi, walang sangit, Hama putih, Belalang","Blas, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD033,PTN018,nov - jan,2000,Maret,2000,10.0,1800,2.500.000,6500,Ya sebagian,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Wereng, Tulo/burung pipit, walang sangit, Hama putih, Belalang, Siput Murbai/Keong","Blas, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD034,PTN018,mei - juli,2000,September,2000,10.0,1800,2.500.000,7000,Ya sebagian,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, KCL",Ada,"Tikus, Wereng, Tulo/burung pipit, walang sangit, Hama putih, Belalang, Siput Murbai/Keong","Blas, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD035,PTN019,nov - jan,1000,Maret,1000,3.0,540,2.500.000,6500,Ya sebagian,Bagi hasil,2,Tegalan/ladang,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Wereng, walang sangit, Tulo/burung pipit, Belalang, Hama putih, Siput Murbai/Keong","Blas, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD036,PTN019,mei - juli,1000,September,1000,3.0,540,2.500.000,6500,Ya sebagian,Bagi hasil,2,Tegalan/ladang,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Wereng, walang sangit, Tulo/burung pipit, Belalang, Hama putih, Siput Murbai/Keong","Blas, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD037,PTN020,feb - apr,5000,April,5000,11.1,2000,5.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Hama putih, Tikus, Siput Murbai/Keong","Blas, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD038,PTN020,mei - juli,5000,November,5000,11.1,2000,5.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Hama putih, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Menyemprot rumput
PRD039,PTN021,nov - jan,1500,April,1500,6.0,1080,2.000.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Tidak,Tidak Ada
PRD040,PTN021,mei - juli,1500,Oktober,1500,6.0,1080,2.000.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Siput Murbai/Keong, Tikus",TIDAK ADA,Ada,Tidak,Tidak Ada
PRD041,PTN022,nov - jan,1500,Februari,1500,1.7,300,1.500.000,6500,Tidak,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",Blas,Ada,Ada,Mencabut rumbut dan Menyemprot rumput
PRD042,PTN022,nov - jan,1300,Maret,1300,4.9,880,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Wereng, Tulo/burung pipit, walang sangit, Siput Murbai/Keong","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD043,PTN023,mei - juli,1300,Oktober,1300,4.9,880,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Wereng, Tulo/burung pipit, walang sangit, Siput Murbai/Keong","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD044,PTN024,mei - juli,1500,Oktober,1500,1.7,300,1.500.000,6500,Tidak,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",Blas,Ada,Ada,Mencabut rumbut dan Menyemprot rumput
PRD045,PTN024,nov - jan,1000,April,1000,3.0,540,500.000,6500,Tidak,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",Bercak daun,Ada,Ada,Mencabut rumput
PRD046,PTN025,mei - juli,1000,Oktober,1000,3.0,540,500.000,6500,Tidak,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",Bercak daun,Ada,Ada,Mencabut rumput
PRD047,PTN025,nov - jan,2200,April,2200,6.0,1080,1.500.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong","Blas, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD048,PTN026,mei - juli,2200,Oktober,2200,6.0,1080,1.500.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong","Blas, Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD049,PTN026,nov - jan,2300,April,2300,8.0,1440,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",Hawar daun bakteri,Ada,Tidak,Tidak Ada
PRD050,PTN027,mei - juli,2300,Oktober,2300,7.0,1260,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",Hawar daun bakteri,Ada,Tidak,Tidak Ada
PRD051,PTN027,nov - jan,2000,April,2000,4.0,720,800.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Hama putih , Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Mencabut rumput
PRD052,PTN028,mei - juli,2000,Oktober,2000,4.0,720,800.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Hama putih , Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Mencabut rumput
PRD053,PTN028,nov - jan,6000,Maret,6000,16.7,3000,8.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong","Bercak daun, Blas",Ada,Ada,Mencabut rumput
PRD054,PTN029,mei - juli,6000,Oktober,6000,16.7,3000,8.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong","Bercak daun, Blas",Ada,Ada,Mencabut rumput
PRD055,PTN029,nov - jan,1000,Maret,1000,2.0,360,800.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Hama putih , Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Mencabut rumput
PRD056,PTN030,mei - juli,1000,Oktober,1000,2.0,360,800.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Hama putih , Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Mencabut rumput
PRD057,PTN030,nov - jan,4000,Maret,4000,9.0,1620,3.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Mencabut rumbut dan Menyemprot rumput
PRD058,PTN031,mei - juli,4000,Oktober,4000,9.0,1620,3.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Mencabut rumbut dan Menyemprot rumput
PRD059,PTN031,nov - jan,800,Maret,800,2.0,360,1.000.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Hama putih, Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Mencabut rumput
PRD060,PTN032,mei - juli,800,Oktober,800,2.0,360,1.000.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Hama putih , Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Mencabut rumput
PRD061,PTN032,feb - apr,1200,April,1200,4.0,720,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Mencabut rumput
PRD062,PTN033,agt - okt,1200,Oktober,1200,4.0,720,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Tidak,Tidak Ada
PRD063,PTN033,feb - apr,3000,April,3000,12.2,2200,1.500.000,6500,Ya seluruhnya,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong, Belalang",TIDAK ADA,Ada,Ada,Mencabut rumput
PRD064,PTN034,agt - okt,3000,Oktober,3000,12.2,2200,1.500.000,6500,Ya seluruhnya,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong, Belalang",TIDAK ADA,Tidak,Ada,Mencabut rumput
PRD065,PTN034,feb - apr,1800,Maret,1800,2.0,360,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Siput Murbai/Keong, Wereng",Blas,Tidak,Ada,Mencabut rumput
PRD066,PTN035,agt - okt,1800,Maret,1800,2.0,360,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Siput Murbai/Keong, Wereng",Blas,Tidak,Ada,Mencabut rumput
PRD067,PTN035,nov - jan,4000,April,4000,10.0,1800,5.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Wereng, Hama putih, Siput Murbai/Keong","Tungro, Busuk batang",Ada,Ada,Mencabut rumput
PRD068,PTN036,mei - juli,4000,Oktober,4000,10.0,1800,5.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Wereng, Hama putih, Siput Murbai/Keong","Tungro, Busuk batang",Ada,Ada,Mencabut rumput
PRD069,PTN037,nov - jan,2000,Maret,2000,10.0,1800,2.000.000,6500,Tidak,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Wereng, Hama putih, Siput Murbai/Keong",Busuk batang,Ada,Ada,Mencabut rumput
PRD070,PTN037,mei - juli,2000,Oktober,2000,10.0,1800,2.000.000,6500,Tidak,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Wereng, Hama putih, Siput Murbai/Keong",Busuk batang,Ada,Ada,Mencabut rumput
PRD071,PTN038,nov - jan,2000,Maret,2000,3.0,600,500.000,6500,Tidak,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Belalang, Siput Murbai/Keong",Bercak daun,Tidak,Tidak,Mencabut rumput
PRD072,PTN038,mei - juli,2000,Oktober,2000,3.0,600,500.000,6500,Tidak,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Belalang, Siput Murbai/Keong",Bercak daun,Tidak,Tidak,Mencabut rumput
PRD073,PTN039,nov - jan,1000,Maret,1000,3.0,600,1.600.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, Pupuk Kandang",Ada,"Tikus, Wereng, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Mencabut rumput
PRD074,PTN040,mei - juli,1000,Oktober,1000,3.0,600,1.600.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, Pupuk Kandang",Ada,"Tikus, Wereng, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Mencabut rumput
PRD075,PTN041,nov - jan,4000,April,4000,8.0,1440,3.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, Hama putih, Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Mencabut rumput
PRD076,PTN042,mei - juli,4000,Oktober,4000,1.0,180,1.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, Hama putih, Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Mencabut rumput
PRD077,PTN042,des - feb,3200,Maret,3200,15.0,2700,2.000.000,6500,Tidak,Bagi hasil,1,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, penggerek batang padi, Tikus, walang sangit","Blas, Busuk batang",Ada,Ada,Mencabut rumput
PRD078,PTN043,des - feb,3500,Maret,3500,7.0,1260,2.500.000,6500,Tidak,Bagi hasil,1,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, penggerek batang padi, Tikus, walang sangit","Blas, Busuk batang",Ada,Ada,Mencabut rumput
PRD079,PTN044,des - feb,3000,Maret,3000,7.0,1260,2.200.000,6500,Tidak,Bagi hasil,1,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, penggerek batang padi, Tikus, walang sangit","Blas, Busuk batang",Ada,Ada,Mencabut rumput
PRD080,PTN044,des - feb,2700,Maret,2700,7.0,1260,2.500.000,6500,Tidak,Bagi hasil,1,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, penggerek batang padi, Tikus, walang sangit","Blas, Busuk batang",Ada,Ada,Mencabut rumput
PRD081,PTN045,des - feb,5000,Maret,5000,7.0,1260,5.000.000,6500,Ya sebagian,Bagi hasil,1,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, penggerek batang padi, Tikus, walang sangit","Blas, Busuk batang",Ada,Ada,Mencabut rumput
